dir,campaign,fault_mode,visibility_timeout,max_receive_count,max_concurrency,n_manifests,backend,loss_mean,dup_mean,dup_sd,dlq_mean,dlq_sd,recovery_mean,recovery_sd,recovery_n,thr_mean
results/localsim/key_cells_n3,L_mrc_unhandled_error,unhandled_error,30,1,5,3,localsim,0.0,0.0,0.0,0.049999999999999996,0.0458257569495584,1.6666666666666667,2.8867513459481287,3,9.05497897455767
results/localsim/key_cells_n3,L_mrc_unhandled_error,unhandled_error,30,5,5,3,localsim,0.0,0.013333333333333334,0.012583057392117916,0.0,0.0,1.6666666666666667,2.8867513459481287,3,7.761524845703998
results/localsim/key_cells_n3,L_vt_consumer_kill,consumer_kill,30,5,5,3,localsim,0.0,0.0016666666666666668,0.002886751345948129,0.0,0.0,0.0,0.0,3,8.316235021114293
results/localsim/key_cells_n3,L_vt_consumer_kill,consumer_kill,90,5,5,3,localsim,0.0,0.006666666666666667,0.007637626158259733,0.0,0.0,0.0,0.0,3,4.888631212691922
results/localsim/key_cells_concurrency,S_mrc_unhandled_error,unhandled_error,30,1,2,1,localsim,0.0,0.0,0.0,0.055,0.0,5.0,0.0,1,9.23631049073383
results/localsim/key_cells_concurrency,S_mrc_unhandled_error,unhandled_error,30,1,5,1,localsim,0.0,0.0,0.0,0.005,0.0,0.0,0.0,1,9.650645660394918
results/localsim/key_cells_concurrency,S_mrc_unhandled_error,unhandled_error,30,5,2,1,localsim,0.0,0.005,0.0,0.0,0.0,0.0,0.0,1,3.9330580646606186
results/localsim/key_cells_concurrency,S_mrc_unhandled_error,unhandled_error,30,5,5,1,localsim,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,3.7877541456079764
results/localsim/key_cells_concurrency,S_vt_consumer_kill,consumer_kill,30,5,2,1,localsim,0.0,0.015,0.0,0.0,0.0,5.0,0.0,1,3.9093094469034013
results/localsim/key_cells_concurrency,S_vt_consumer_kill,consumer_kill,30,5,5,1,localsim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.206954104306012
results/localsim/key_cells_concurrency,S_vt_consumer_kill,consumer_kill,90,5,2,1,localsim,0.0,0.005,0.0,0.0,0.0,0.0,0.0,1,10.117733728114604
results/localsim/key_cells_concurrency,S_vt_consumer_kill,consumer_kill,90,5,5,1,localsim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8044216428294695
