t,visible,inflight,delayed
0.5971672534942627,0,0,0
5.7663893699646,0,0,0
10.933102130889893,0,0,0
16.103371143341064,0,0,0
21.269707202911377,0,15,0
26.436509370803833,2,35,0
31.624908208847046,2,35,0
36.86915826797485,0,35,0
42.11413311958313,0,35,0
47.35595726966858,0,34,0
52.595256090164185,0,35,0
57.772836208343506,0,35,0
62.94172215461731,0,24,0
68.16265606880188,0,35,0
73.33328318595886,0,35,0
78.50645709037781,0,1,0
83.67532730102539,0,1,0
88.85244822502136,0,1,0
94.0252673625946,0,6,0
99.26471829414368,0,0,0
