seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0,pilot_cold,mock,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,0,,,,1767225600.0,2026-01-01T00:00:00.000+00:00,e52fec14-2d75-4a6a-8584-0f4ce50ee168,200,,False,668.007,72.78,73,577.93,True,110,logs
1,pilot_cold,mock,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1767225600.668,2026-01-01T00:00:00.668+00:00,5e97f5f8-43c9-41ee-901e-13be235f461f,200,,False,49.087,21.26,22,,False,110,logs
2,pilot_cold,mock,python-default,python,default,1024,measure,idle,off,True,update_env,0,,,,1767225600.717,2026-01-01T00:00:00.717+00:00,27aae4a6-ac94-48a7-9d75-ef1ba557ce75,200,,False,656.089,24.85,25,593.55,True,118,logs
3,pilot_cold,mock,python-default,python,default,1024,follow_up,idle,off,False,update_env,0,,,,1767225601.373,2026-01-01T00:00:01.373+00:00,5372f53f-f952-4fef-8839-5aad5fac0dba,200,,False,61.505,28.23,29,,False,118,logs
4,pilot_cold,mock,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,0,,,,1767225601.435,2026-01-01T00:00:01.434+00:00,fa50dad1-f12a-41f0-9a18-19980e199f78,200,,False,323.377,29.69,30,270.68,True,42,logs
5,pilot_cold,mock,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,0,,,,1767225601.758,2026-01-01T00:00:01.758+00:00,c1189866-d29e-4868-847e-21686e509ddc,200,,False,41.464,24.34,25,,False,42,logs
6,pilot_cold,mock,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,0,,,,1767225601.8,2026-01-01T00:00:01.799+00:00,5747d1df-afee-4375-8b62-aff1f0a3117a,200,,False,272.727,55.36,56,188.8,True,72,logs
7,pilot_cold,mock,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1767225602.072,2026-01-01T00:00:02.072+00:00,40797c0d-b39b-44e9-b624-06a0162ef271,200,,False,83.637,51.22,52,,False,72,logs
8,pilot_cold,mock,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,0,,,,1767225602.156,2026-01-01T00:00:02.155+00:00,e945af39-de42-48db-bc90-d5c512be0517,200,,False,533.933,61.81,62,444.45,True,140,logs
9,pilot_cold,mock,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,0,,,,1767225602.69,2026-01-01T00:00:02.689+00:00,08cfd026-790c-480e-bda1-e09a1bcb9b4f,200,,False,80.137,46.71,47,,False,140,logs
10,pilot_cold,mock,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,0,,,,1767225602.77,2026-01-01T00:00:02.769+00:00,915bb3b9-1a61-4bbf-b8ad-8549325ed4c6,200,,False,212.752,26.11,27,166.77,True,38,logs
11,pilot_cold,mock,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1767225602.983,2026-01-01T00:00:02.982+00:00,329ca4bb-0dea-4b15-aced-c7d84e30ba5f,200,,False,52.073,23.52,24,,False,38,logs
12,pilot_cold,mock,java-default,java,default,1024,measure,idle,off,True,update_env,0,,,,1767225603.035,2026-01-01T00:00:03.034+00:00,8388cbba-60c0-40e1-8b3a-a849a667317b,200,,False,854.055,68.03,69,766.71,True,165,logs
13,pilot_cold,mock,java-default,java,default,1024,follow_up,idle,off,False,update_env,0,,,,1767225603.889,2026-01-01T00:00:03.888+00:00,3acc9e78-c2da-43f0-b8af-5fc2d1fc30ed,200,,False,57.804,23.78,24,,False,165,logs
