phase,function,memory_mb,intended_cold,came_back_warm
live_java_init,java-default,1024,12,0
live_java_init,java-optimised,1024,12,0
live_nodejs_init,nodejs-default,1024,12,0
live_nodejs_init,nodejs-optimised,1024,12,0
live_python_init,python-default,1024,12,0
live_python_init,python-optimised,1024,12,0
live_python_memory,python-optimised,128,12,0
live_python_memory,python-optimised,512,12,0
live_python_memory,python-optimised,1024,12,0
live_python_memory,python-optimised,1769,12,0
live_python_memory,python-optimised,3008,12,0
