seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,0.0,,,,1789899994.13,2026-09-20T10:26:34.130+00:00,fe4ea0e3-7c4c-4329-af83-2e8ea87e2b31,200,,False,523.991,22.68,177,153.87,True,41,logs
1.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,0.0,,,,1789899994.656,2026-09-20T10:26:34.655+00:00,f907a9a8-6c5e-41d7-b804-9b2809945bb9,200,,False,212.195,32.71,33,,False,41,logs
2.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,0.0,,,,1789899997.278,2026-09-20T10:26:37.277+00:00,ce4ba4eb-88ef-485d-ab19-c5c37ad09231,200,Unhandled,True,700.75,108.7,109,,False,47,logs
3.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,0.0,,,,1789899997.979,2026-09-20T10:26:37.979+00:00,6885370e-25a7-491f-b787-fc3de9d07672,200,Unhandled,True,430.602,146.25,147,,False,47,logs
4.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,0.0,,,,1789900000.732,2026-09-20T10:26:40.731+00:00,7ee898bb-19ac-4a52-a8a7-90175ded3a73,200,,False,3899.746,16.84,3422,3404.71,True,132,logs
5.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,0.0,,,,1789900004.632,2026-09-20T10:26:44.632+00:00,76788577-9e0b-405b-b72c-1912f6b95727,200,,False,220.519,31.95,32,,False,132,logs
6.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,1.0,,,,1789900006.995,2026-09-20T10:26:46.995+00:00,b299a25b-6b75-4380-94cd-f612e34e7414,200,,False,3999.314,29.84,3531,3500.62,True,134,logs
7.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,1.0,,,,1789900010.996,2026-09-20T10:26:50.996+00:00,e614a107-0dcb-4b56-8da1-52fdab5f520b,200,,False,197.282,17.79,18,,False,134,logs
8.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,1.0,,,,1789900013.281,2026-09-20T10:26:53.281+00:00,eb0a8488-9c81-4021-9c80-78e79abfbfde,200,Unhandled,True,695.683,87.65,88,,False,47,logs
9.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,1.0,,,,1789900013.978,2026-09-20T10:26:53.977+00:00,926bd236-5589-486d-b3c0-0561445d5c93,200,Unhandled,True,337.675,155.14,156,,False,47,logs
10.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,1.0,,,,1789900016.473,2026-09-20T10:26:56.473+00:00,8dbf9f5f-08ef-4c68-9dbf-b78c5ff8a442,200,,False,358.547,12.23,80,67.1,True,41,logs
11.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,1.0,,,,1789900016.833,2026-09-20T10:26:56.832+00:00,1bb11189-cb4f-4a5b-bcfe-33523812ee1e,200,,False,193.127,11.63,12,,False,41,logs
