phase,function,memory_mb,intended_cold,came_back_warm
burst,java-optimised,1024,200,0
burst,nodejs-optimised,1024,200,0
burst,python-optimised,1024,200,0
combined,java-default,128,40,0
combined,java-optimised,1024,40,0
combined,nodejs-default,128,40,0
combined,nodejs-optimised,1024,40,0
combined,python-default,128,40,0
combined,python-optimised,1024,40,0
memory,java-optimised,128,40,0
memory,java-optimised,512,40,0
memory,java-optimised,1024,40,0
memory,java-optimised,1769,40,0
memory,java-optimised,3008,40,0
memory,nodejs-optimised,128,40,0
memory,nodejs-optimised,512,40,0
memory,nodejs-optimised,1024,40,0
memory,nodejs-optimised,1769,40,0
memory,nodejs-optimised,3008,40,0
memory,python-optimised,128,40,0
memory,python-optimised,512,40,0
memory,python-optimised,1024,40,0
memory,python-optimised,1769,40,0
memory,python-optimised,3008,40,0
package_size,java-default,1024,50,0
package_size,java-optimised,1024,50,0
package_size,nodejs-default,1024,50,0
package_size,nodejs-optimised,1024,50,0
package_size,python-bytecode,1024,50,0
package_size,python-default,1024,50,0
package_size,python-optimised,1024,50,0
runtime_compare,java-optimised,1024,50,0
runtime_compare,nodejs-optimised,1024,50,0
runtime_compare,python-optimised,1024,50,0
