seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0.0,baseline,mock,python-default,python,default,128,warmup,steady,off,False,,0.0,,,,1767225600.0,2026-01-01T00:00:00.000+00:00,05840f4c-e50e-4168-b7b3-ff7b623dd8df,200,,False,1603.974,240.89,241,1334.37,True,118,logs
0.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,e52fec14-2d75-4a6a-8584-0f4ce50ee168,200,,False,219.453,30.4,31,171.76,True,38,logs
0.0,runtime_compare,mock,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,0.0,,,,1767225600.0,2026-01-01T00:00:00.000+00:00,e52fec14-2d75-4a6a-8584-0f4ce50ee168,200,,False,668.007,30.4,31,171.76,True,38,logs
1.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,55bab91c-d20b-42cf-98aa-a1f6d2b6c1ba,200,,False,227.524,26.19,27,168.44,True,38,logs
2.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,31146644-0f9e-4cd3-a7aa-e4a6ac9448a7,200,,False,242.017,23.22,24,193.96,True,38,logs
3.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,6f021483-5508-4050-abda-62a8573231ef,200,,False,210.619,22.68,23,138.05,True,38,logs
4.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,657bf824-c301-4403-be88-c45db5a0e105,200,,False,207.68,25.72,26,153.17,True,38,logs
5.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,9a66c6ae-7e79-4030-9492-0444b948c159,200,,False,192.912,27.65,28,145.62,True,38,logs
6.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,54ef6e27-2222-4d3c-ab6b-0eed339364f8,200,,False,179.12,29.56,30,125.9,True,38,logs
7.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,97d3c89b-151d-4f66-9361-73ae83cb9775,200,,False,252.87,23.83,24,190.68,True,38,logs
8.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,fda1e09a-1bcb-4b4f-bc50-0d2b8201010f,200,,False,225.041,27.85,28,174.7,True,38,logs
9.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,55081262-bc68-4bdd-b7a6-35ea7bea9505,200,,False,221.427,22.64,23,171.51,True,38,logs
10.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,329ca4bb-0dea-4b15-aced-c7d84e30ba5f,200,,False,233.724,24.65,25,180.52,True,38,logs
11.0,burst,mock,python-optimised,python,optimised,1024,measure,burst,off,True,,0.0,,python-optimised-0,,1767225600.0,2026-01-01T00:00:00.000+00:00,cb3aa849-a667-417b-b334-02293746d484,200,,False,185.37,28.94,29,138.99,True,38,logs
