runtime,variant,process_wall_ms,ok,init_proxy_ms,handler_ms,digest,items_total,rep,warmup,seq
python,default,2485.442,True,2395.834,8.593,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-1,True,
python,optimised,32.734,True,20.873,8.177,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-1,True,
nodejs,default,388.137,True,322.943,49.837,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-1,True,
nodejs,optimised,85.285,True,38.684,39.213,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-1,True,
java,default,317.86,True,216.293,64.969,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-1,True,
java,optimised,158.138,True,37.634,83.192,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-1,True,
python,default,2492.479,True,2411.12,10.655,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-2,True,
python,optimised,37.377,True,25.667,8.307,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-2,True,
nodejs,default,385.47,True,321.33,50.643,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-2,True,
nodejs,optimised,82.334,True,35.07,40.287,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-2,True,
java,default,317.302,True,201.732,74.257,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-2,True,
java,optimised,162.636,True,36.865,87.391,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,-2,True,
nodejs,optimised,76.648,True,30.97,38.75,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,0,False,0.0
python,optimised,32.301,True,20.618,8.203,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,0,False,1.0
nodejs,default,392.328,True,327.068,48.841,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,0,False,2.0
java,default,356.931,True,249.182,67.856,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,0,False,3.0
python,default,2459.721,True,2379.475,8.196,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,0,False,4.0
java,optimised,160.409,True,39.809,84.797,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,0,False,5.0
nodejs,optimised,77.07,True,32.838,37.633,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,1,False,6.0
python,default,2480.95,True,2403.074,8.394,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,1,False,7.0
nodejs,default,388.326,True,321.734,51.884,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,1,False,8.0
java,default,343.748,True,239.813,66.862,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,1,False,9.0
java,optimised,158.909,True,41.035,83.172,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,1,False,10.0
python,optimised,32.458,True,20.799,8.345,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,1,False,11.0
nodejs,optimised,72.475,True,28.745,37.082,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,2,False,12.0
python,optimised,32.144,True,20.514,8.171,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,2,False,13.0
nodejs,default,380.615,True,316.711,47.235,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,2,False,14.0
python,default,2466.891,True,2386.151,8.32,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,2,False,15.0
java,default,338.97,True,225.391,75.03,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,2,False,16.0
java,optimised,153.438,True,37.546,79.826,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,2,False,17.0
python,optimised,32.782,True,20.879,8.458,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,3,False,18.0
nodejs,default,388.037,True,324.258,51.279,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,3,False,19.0
nodejs,optimised,81.715,True,34.808,40.088,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,3,False,20.0
java,default,322.523,True,217.066,65.665,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,3,False,21.0
java,optimised,158.193,True,35.664,83.526,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,3,False,22.0
python,default,2461.259,True,2378.962,8.471,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,3,False,23.0
python,optimised,32.74,True,20.862,8.608,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,4,False,24.0
nodejs,optimised,76.655,True,28.586,40.617,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,4,False,25.0
nodejs,default,393.448,True,324.647,51.673,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,4,False,26.0
python,default,2466.94,True,2388.019,8.567,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,4,False,27.0
java,optimised,157.069,True,36.152,84.817,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,4,False,28.0
java,default,308.586,True,204.34,65.728,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,4,False,29.0
nodejs,default,384.868,True,320.74,50.216,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,5,False,30.0
python,optimised,39.352,True,25.508,9.751,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,5,False,31.0
python,default,2452.377,True,2371.537,8.213,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,5,False,32.0
nodejs,optimised,77.278,True,30.113,39.89,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,5,False,33.0
java,default,326.748,True,210.096,78.012,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,5,False,34.0
java,optimised,156.22,True,35.019,85.048,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,5,False,35.0
java,optimised,161.773,True,36.94,89.532,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,6,False,36.0
python,optimised,32.395,True,20.905,8.267,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,6,False,37.0
nodejs,optimised,73.864,True,29.881,37.423,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,6,False,38.0
python,default,2509.367,True,2423.4,8.425,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,6,False,39.0
nodejs,default,376.102,True,311.539,51.256,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,6,False,40.0
java,default,340.152,True,244.326,67.24,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,6,False,41.0
java,default,337.259,True,229.353,69.895,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,7,False,42.0
nodejs,optimised,76.694,True,31.149,38.624,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,7,False,43.0
python,default,2462.322,True,2382.309,8.544,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,7,False,44.0
python,optimised,32.647,True,20.825,8.563,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,7,False,45.0
java,optimised,155.633,True,35.648,84.288,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,7,False,46.0
nodejs,default,384.627,True,320.759,49.279,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,7,False,47.0
nodejs,default,395.51,True,331.36,52.066,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,8,False,48.0
python,optimised,39.832,True,23.221,12.267,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,8,False,49.0
java,default,334.617,True,224.669,71.393,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,8,False,50.0
nodejs,optimised,76.305,True,30.362,38.311,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,8,False,51.0
java,optimised,156.854,True,37.638,81.335,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,8,False,52.0
python,default,2475.448,True,2396.174,8.494,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,8,False,53.0
nodejs,optimised,75.772,True,30.678,38.167,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,9,False,54.0
python,optimised,32.611,True,21.002,8.31,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,9,False,55.0
python,default,2467.582,True,2387.784,8.213,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,9,False,56.0
java,optimised,167.512,True,42.711,90.12,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,9,False,57.0
java,default,330.188,True,223.97,67.36,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,9,False,58.0
nodejs,default,389.81,True,323.94,49.103,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,9,False,59.0
nodejs,default,380.981,True,318.004,50.387,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,10,False,60.0
python,optimised,41.764,True,24.983,12.362,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,10,False,61.0
java,optimised,160.216,True,40.717,83.35,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,10,False,62.0
nodejs,optimised,74.726,True,29.989,38.086,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,10,False,63.0
python,default,2455.375,True,2376.559,8.409,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,10,False,64.0
java,default,324.113,True,217.212,66.963,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,10,False,65.0
python,optimised,32.542,True,20.954,8.324,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,66.0
python,default,2464.58,True,2385.014,8.58,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,67.0
nodejs,optimised,79.619,True,32.699,39.944,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,68.0
nodejs,default,386.501,True,321.95,50.119,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,69.0
java,default,353.129,True,237.995,77.293,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,70.0
java,optimised,166.631,True,41.136,88.777,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,11,False,71.0
python,optimised,32.853,True,20.778,8.672,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,72.0
nodejs,optimised,76.401,True,30.021,39.201,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,73.0
nodejs,default,396.956,True,331.349,50.001,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,74.0
java,default,349.194,True,237.912,69.432,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,12,False,75.0
