utc_day,t,mode,function,memory_mb,billed_ms,usd
2026-09-20,1789905934.856,live,warm-target,1024,27.0,0.0000005600
2026-09-20,1789905935.112,live,warm-control,1024,18.0,0.0000004400
2026-09-20,1789906037.644,live,warm-target,1024,17.0,0.0000004267
2026-09-20,1789906037.865,live,warm-control,1024,24.0,0.0000005200
2026-09-20,1789906106.988,live,warm-target,1024,19.0,0.0000004533
2026-09-20,1789906107.203,live,warm-control,1024,18.0,0.0000004400
2026-09-20,1789906355.638,live,warm-control,1024,26.0,0.0000005467
2026-09-20,1789906355.842,live,warm-target,1024,31.0,0.0000006133
2026-09-20,1789906430.146,live,warm-target,1024,17.0,0.0000004267
2026-09-20,1789906430.376,live,warm-control,1024,34.0,0.0000006533
2026-09-20,1789906658.251,live,warm-control,1024,20.0,0.0000004667
2026-09-20,1789906658.45,live,warm-target,1024,17.0,0.0000004267
2026-09-20,1789906830.725,live,warm-target,1024,29.0,0.0000005867
2026-09-20,1789906830.934,live,warm-control,1024,30.0,0.0000006000
