phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
memory,python-optimised,128,24,0.0,12,84.995,94.488,98.9056,200.95499999999998,195.745,463.656,644.3545,722.31733,0.5,0,0.0005841685875
memory,python-optimised,512,24,0.0,12,86.49000000000001,90.356,91.7992,49.224999999999994,39.120000000000005,334.278,516.7706999999999,547.7296299999999,0.5,0,0.0007611139166666666
memory,python-optimised,1024,24,0.0,12,70.175,87.128,87.23360000000001,23.07,18.335,310.4695,478.82854999999995,511.66511,0.5,0,0.000961670475
memory,python-optimised,1769,24,0.0,12,87.995,94.269,95.0698,16.965,16.225,293.292,491.08629999999994,502.06021,0.5,0,0.0015398092163736977
memory,python-optimised,3008,24,0.0,12,86.58,90.4095,91.1619,16.62,16.105,310.1225,447.20885,470.46735,0.5,0,0.0025108448875
package_size,java-default,1024,24,0.0,12,687.26,771.8995,773.8839,113.775,36.849999999999994,628.4575,1194.8561499999998,1198.75295,0.5,0,0.0057733612
package_size,java-optimised,1024,24,0.0,12,333.4,427.758,436.2236,110.905,36.865,457.141,853.1505999999999,864.85292,0.5,0,0.0035805724583333333
package_size,nodejs-default,1024,24,0.0,12,1000.795,1145.963,1162.0406,193.14,125.12,927.4245,1882.25025,1967.7365599999998,0.5,0,0.009015044075
package_size,nodejs-optimised,1024,24,0.0,12,140.45499999999998,146.4175,146.6595,178.695,109.625,455.7205,677.5839,689.94197,0.5,0,0.0030133474
package_size,python-bytecode,1024,24,1.0,0,,,,,,,,,,0,
package_size,python-default,1024,24,0.0,12,3355.95,3527.053,3552.8986,28.105,18.34,1631.2734999999998,3996.8184499999998,4022.7112199999997,0.5,0,0.021689551891666662
package_size,python-optimised,1024,24,0.0,12,88.32,121.94799999999996,147.48560000000003,19.89,17.705,318.221,440.60515,505.00404,0.5,0,0.0010733377000000002
runtime_compare,java-optimised,1024,24,0.0,12,333.4,427.758,436.2236,110.905,36.865,457.141,853.1505999999999,864.85292,0.5,0,0.0035805724583333333
runtime_compare,nodejs-optimised,1024,24,0.0,12,140.45499999999998,146.4175,146.6595,178.695,109.625,455.7205,677.5839,689.94197,0.5,0,0.0030133474
runtime_compare,python-optimised,1024,24,0.0,12,88.32,121.94799999999996,147.48560000000003,19.89,17.705,318.221,440.60515,505.00404,0.5,0,0.0010733377000000002
warming,warm-control,1024,10,0.0,0,,,,,24.32,205.3185,330.3820499999998,397.25241000000005,0.2,0,0.00074400272
warming,warm-target,1024,10,0.0,0,,,,,22.200000000000003,211.2955,241.57199999999997,250.0824,0.0,0,0.0005200016000000001
