phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
baseline,python-default,128,27,0.0,0,,,,,191.82,222.653,241.53539999999998,247.2887,0.0,0,0.0005211127166666667
baseline,python-default,512,32,0.0,0,,,,,48.81,79.9855,90.80595,94.87073000000001,0.0,0,0.0005322933281249999
baseline,python-default,1024,75,0.0,0,,,,,24.355,56.327,243.7178,269.51952,0.4666666666666667,0,0.002483033637333333
baseline,python-default,3008,26,0.0,0,,,,,14.67,39.9125,64.115,65.45075,0.0,0,0.0008100992043269233
burst,java-optimised,1024,200,0.0,200,588.015,706.4349999999998,753.3285999999999,63.15,,679.2665,807.12855,845.9614499999999,1.0,0,0.008854976608
burst,nodejs-optimised,1024,200,0.0,200,188.57999999999998,236.4299999999999,255.13069999999985,63.7,,283.776,331.4231,353.94528,1.0,0,0.00362135044
burst,python-optimised,1024,200,0.0,200,169.195,217.6795,241.68599999999998,26.345,,221.41199999999998,274.2145,305.43782,1.0,0,0.0028389465279999994
combined,java-default,128,80,0.0,40,1765.62,2383.4839999999995,2750.3558999999996,490.69,168.185,1061.2485,2798.45295,3063.630569999996,0.5,0,0.0022614478071875
combined,java-optimised,1024,80,0.0,40,548.085,663.0239999999999,732.9135,61.275,22.375,287.4315,728.4117499999999,810.98597,0.5,0,0.0044730213650000005
combined,nodejs-default,128,80,0.0,40,1191.85,1495.3915,1750.6758999999997,500.26,390.195,986.1225000000001,2024.4277,2148.9047199999977,0.5,0,0.0019785297259375004
combined,nodejs-optimised,1024,80,0.0,40,197.095,243.30399999999995,261.121,64.14,49.769999999999996,167.8795,328.22375,347.69729,0.5,0,0.0022875104374999997
combined,python-default,128,80,0.0,40,1321.3,1596.6554999999996,1834.6701999999998,204.315,187.985,740.7235000000001,1763.8259499999997,1944.2536399999983,0.5,0,0.0016429863815625003
combined,python-optimised,1024,80,0.0,40,169.145,228.36349999999996,243.488,26.38,25.32,130.78,278.9502,289.60618,0.5,0,0.0017216742750000003
memory,java-optimised,128,80,0.0,40,1048.06,1341.2014999999997,1556.2662,488.705,166.10500000000002,737.4845,1873.1308999999999,2052.0309999999995,0.5,0,0.0016591531290625
memory,java-optimised,512,80,0.0,40,710.76,851.811,996.3124999999999,125.10499999999999,43.21,363.47950000000003,986.9558999999999,1053.4374399999986,0.5,0,0.0031293479799999998
memory,java-optimised,1024,80,0.0,40,558.565,708.3254999999998,824.8419,62.620000000000005,21.994999999999997,283.014,778.64875,902.6681899999998,0.5,0,0.00456468849
memory,java-optimised,1769,80,0.0,40,478.995,615.7679999999997,705.2242,37.215,12.870000000000001,237.12800000000001,643.0312999999999,764.34371,0.5,0,0.006382605294382324
memory,java-optimised,3008,80,0.0,40,499.26,612.4655,634.7209,36.765,12.875,247.9485,668.4347499999999,697.5171099999999,0.5,0,0.011019845765625
memory,nodejs-optimised,128,80,0.0,40,330.22,421.0799999999999,503.93729999999994,512.675,382.265,631.227,1011.52555,1056.1170299999997,0.5,0,0.00123925519625
memory,nodejs-optimised,512,80,0.0,40,237.64999999999998,307.0505,312.5466,130.725,99.76,235.04149999999998,459.33515,490.25792,0.5,0,0.0017801745674999997
memory,nodejs-optimised,1024,80,0.0,40,193.16500000000002,244.309,263.4864,63.334999999999994,48.735,161.752,328.86729999999994,349.76856999999984,0.5,0,0.0022508435875
