seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,0,,,,1790076813.84,2026-09-22T11:33:33.839+00:00,ab683783-f233-49f8-be36-363f30cc5243,200,,False,3756.138,17.35,3246,3228.11,True,133,logs
1,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,0,,,,1790076817.599,2026-09-22T11:33:37.598+00:00,7093f6b8-3ae3-40e4-aeaa-0fbc9496f3f3,200,,False,190.47,16.65,17,,False,133,logs
2,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,0,,,,1790076820.266,2026-09-22T11:33:40.265+00:00,767cfba2-f741-4a50-ba65-0d3363297e96,200,,False,1871.318,254.73,1371,1116.18,True,127,logs
3,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,0,,,,1790076822.138,2026-09-22T11:33:42.137+00:00,e10d0253-108e-48c0-99db-bcf0483eae4e,200,,False,369.562,176.16,177,,False,136,logs
4,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,0,,,,1790076824.9,2026-09-22T11:33:44.900+00:00,d7cd9527-2c2c-423f-b7fa-b8ab33682065,200,,False,1291.88,126.49,907,780.43,True,119,logs
5,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,0,,,,1790076826.195,2026-09-22T11:33:46.194+00:00,93854afc-2500-4937-ad5f-ce0c9a57ec03,200,,False,230.285,43.95,44,,False,119,logs
6,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,0,,,,1790076828.719,2026-09-22T11:33:48.718+00:00,b8dc893b-ea06-47a9-b17c-c556ad827811,200,,False,645.933,205.76,351,144.36,True,78,logs
7,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790076829.366,2026-09-22T11:33:49.365+00:00,5ac0b613-7583-4af4-8473-303aa2795b3a,200,,False,297.634,116.26,117,,False,78,logs
8,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,0,,,,1790076832.0,2026-09-22T11:33:52.000+00:00,6749609f-39e2-4b5a-864b-b02b4173726d,200,,False,445.706,26.94,116,88.75,True,41,logs
9,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790076832.447,2026-09-22T11:33:52.447+00:00,f47855d1-13b8-4af1-8472-c7449a9c6be8,200,,False,210.439,34.65,35,,False,41,logs
10,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,0,,,,1790076835.17,2026-09-22T11:33:55.169+00:00,082b8941-8832-43bd-a8c6-3af2ce7e5d71,200,,False,925.324,122.58,537,413.7,True,107,logs
11,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790076836.098,2026-09-22T11:33:56.098+00:00,41ae6da0-13f2-4f17-b2f3-d3a68a34a11b,200,,False,229.781,46.73,47,,False,107,logs
12,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,1,,,,1790076838.531,2026-09-22T11:33:58.530+00:00,f5d517f9-0363-4132-988c-b9896e176f34,200,,False,836.093,126.53,543,416.22,True,107,logs
13,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790076839.37,2026-09-22T11:33:59.369+00:00,8f616132-faf6-427d-bf78-7e026a1a7637,200,,False,292.562,46.86,47,,False,107,logs
14,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,1,,,,1790076842.259,2026-09-22T11:34:02.259+00:00,8dd289a2-5f2e-4b1d-ad62-e0d9eed64831,200,,False,4190.994,27.78,3584,3555.98,True,132,logs
15,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,1,,,,1790076846.452,2026-09-22T11:34:06.451+00:00,1e847a13-4b65-4cae-b6be-e2eccaf02ec0,200,,False,521.719,17.3,18,,False,132,logs
16,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,1,,,,1790076849.399,2026-09-22T11:34:09.398+00:00,14dd64ac-8876-478b-895a-c1acc77e0ddd,200,,False,1571.803,172.44,1052,879.53,True,123,logs
17,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,1,,,,1790076850.971,2026-09-22T11:34:10.971+00:00,826bafcb-2c72-4aca-8fad-e70b0f679425,200,,False,299.272,124.75,125,,False,130,logs
18,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,1,,,,1790076853.35,2026-09-22T11:34:13.350+00:00,1d5d7efd-bb36-4371-9f29-e1aa7c76fd33,200,,False,377.581,21.73,93,71.1,True,41,logs
19,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790076853.729,2026-09-22T11:34:13.729+00:00,5c7e8908-fb65-4bca-8919-a4ec8061270e,200,,False,198.653,17.95,18,,False,41,logs
20,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,1,,,,1790076855.968,2026-09-22T11:34:15.968+00:00,ef432353-3409-4d67-a61a-cbe8c7ab8d54,200,,False,621.41,185.19,330,144.14,True,78,logs
21,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790076856.59,2026-09-22T11:34:16.590+00:00,3f69920f-8557-42a5-9113-eec2c55a09c9,200,,False,358.86,125.23,126,,False,78,logs
22,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,1,,,,1790076859.231,2026-09-22T11:34:19.230+00:00,7f6879de-5ee0-48d5-8ba3-93e78e8a579f,200,,False,1256.194,129.39,905,774.64,True,119,logs
23,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,1,,,,1790076860.488,2026-09-22T11:34:20.488+00:00,95d2d255-bda8-4433-9adb-9bb7db54de18,200,,False,215.741,36.62,37,,False,119,logs
24,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,2,,,,1790076862.89,2026-09-22T11:34:22.890+00:00,3041b517-0d4f-4f6a-a680-97e1d9f86080,200,,False,706.869,106.77,429,321.41,True,109,logs
25,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790076863.6,2026-09-22T11:34:23.599+00:00,88cd32d5-4b95-461d-9af7-4cdc4a761f1c,200,,False,219.181,32.29,33,,False,109,logs
26,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,2,,,,1790076866.702,2026-09-22T11:34:26.702+00:00,1f2bd41e-600d-4730-af6b-fba90e7df7cf,200,,False,384.449,21.01,93,71.61,True,41,logs
27,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790076867.087,2026-09-22T11:34:27.087+00:00,3b74e36c-f1d9-4dd9-9fbf-12ac8aeae7b9,200,,False,333.023,23.16,24,,False,43,logs
28,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,2,,,,1790076870.044,2026-09-22T11:34:30.044+00:00,f22b10e2-f35b-451f-ac9c-6e09053d00e4,200,,False,1533.9,176.53,1086,909.43,True,125,logs
29,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,2,,,,1790076871.579,2026-09-22T11:34:31.579+00:00,65dc603a-84bb-4572-af6d-a7328aafcebe,200,,False,422.209,136.43,137,,False,136,logs
30,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,2,,,,1790076874.27,2026-09-22T11:34:34.270+00:00,245e4381-ad89-41e0-a151-f3b79506f625,200,,False,3965.932,17.4,3427,3408.72,True,133,logs
31,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,2,,,,1790076878.237,2026-09-22T11:34:38.237+00:00,8163ecab-50a6-452c-b5d6-77d9b0585e80,200,,False,200.132,19.98,20,,False,133,logs
32,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,2,,,,1790076880.889,2026-09-22T11:34:40.889+00:00,43cf1e36-91d2-462e-a479-333455c9ad5e,200,,False,1013.886,103.38,697,593.42,True,119,logs
33,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,2,,,,1790076881.904,2026-09-22T11:34:41.903+00:00,c3a440ba-c4e2-4f9e-96fb-8d610842bde0,200,,False,191.906,18.86,19,,False,119,logs
34,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,2,,,,1790076884.229,2026-09-22T11:34:44.228+00:00,fe3c03c1-aea4-4d5c-815c-8724cf848c44,200,,False,570.938,150.23,262,111.37,True,79,logs
35,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790076884.803,2026-09-22T11:34:44.802+00:00,4c8b68cf-884d-4fb4-87bd-cc5743cd757e,200,,False,283.794,104.8,105,,False,79,logs
36,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,3,,,,1790076887.19,2026-09-22T11:34:47.190+00:00,7b7feb30-bae4-4449-8744-1f645e6e63da,200,,False,551.887,18.42,139,119.64,True,41,logs
37,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,3,,,,1790076887.744,2026-09-22T11:34:47.744+00:00,beb9fe63-b3d3-4586-99ed-b179c88c9acb,200,,False,205.763,26.18,27,,False,41,logs
38,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,3,,,,1790076890.079,2026-09-22T11:34:50.078+00:00,1dc14c17-7ea3-487a-a020-2fc056edf720,200,,False,3249.135,24.62,2773,2747.62,True,134,logs
39,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,3,,,,1790076893.329,2026-09-22T11:34:53.329+00:00,9a873747-726a-4833-8ea6-25dd754ef0a6,200,,False,197.232,14.19,15,,False,134,logs
40,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,3,,,,1790076895.711,2026-09-22T11:34:55.710+00:00,44100f69-c805-4a29-ae87-c9243deacd1b,200,,False,876.844,131.96,574,441.48,True,107,logs
41,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,3,,,,1790076896.589,2026-09-22T11:34:56.588+00:00,defe010f-9551-46c9-82e3-3bdc3d6a9d98,200,,False,230.709,46.67,47,,False,107,logs
42,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,3,,,,1790076899.001,2026-09-22T11:34:59.001+00:00,5826cd0c-5729-4ae0-8216-816db197c4bd,200,,False,1877.295,269.83,1409,1139.06,True,126,logs
43,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,3,,,,1790076900.88,2026-09-22T11:35:00.879+00:00,e6e38bd1-48d1-4b90-b591-694b6091d5c0,200,,False,422.79,195.72,196,,False,138,logs
44,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,3,,,,1790076903.498,2026-09-22T11:35:03.497+00:00,3a72b5af-85fb-4ec5-b571-e17e0aad6c56,200,,False,1272.729,117.03,855,737.44,True,106,logs
45,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,3,,,,1790076904.773,2026-09-22T11:35:04.773+00:00,7817ee29-6ff0-45ef-bd35-d503b0980c95,200,,False,226.39,36.62,37,,False,106,logs
46,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,3,,,,1790076907.166,2026-09-22T11:35:07.165+00:00,7bd3af54-e0a2-4a90-b738-e1d38924e7fd,200,,False,658.025,206.69,353,145.61,True,78,logs
47,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,3,,,,1790076907.825,2026-09-22T11:35:07.825+00:00,756d3c26-0bef-46dc-b193-0ef8b0d04cfb,200,,False,318.709,133.66,134,,False,78,logs
48,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,4,,,,1790076910.329,2026-09-22T11:35:10.329+00:00,d1c2347e-5841-4bf5-adbb-daba3b0c3564,200,,False,935.061,121.28,544,422.43,True,109,logs
49,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,4,,,,1790076911.266,2026-09-22T11:35:11.266+00:00,e7b3e2f7-7626-4d8d-b91d-298c9bef6f07,200,,False,218.323,36.75,37,,False,109,logs
50,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,4,,,,1790076913.7,2026-09-22T11:35:13.699+00:00,9136fc9a-10b2-426c-81cc-501896bffb31,200,,False,436.224,22.91,113,90.02,True,41,logs
51,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,4,,,,1790076914.137,2026-09-22T11:35:14.137+00:00,e3954fc9-5561-461f-a1bc-432a79b4564f,200,,False,272.194,33.52,34,,False,41,logs
52,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,4,,,,1790076916.544,2026-09-22T11:35:16.543+00:00,42653847-c566-4e74-9ca6-42baa3bed844,200,,False,631.38,192.39,338,145.45,True,78,logs
53,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,4,,,,1790076917.176,2026-09-22T11:35:17.176+00:00,1682a938-5280-4575-b64e-4e233dfc8735,200,,False,295.871,117.48,118,,False,78,logs
54,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,4,,,,1790076919.722,2026-09-22T11:35:19.722+00:00,7dd8a7be-dcc3-41e9-be25-a308c6156fe9,200,,False,1504.457,128.74,1005,876.01,True,126,logs
55,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,4,,,,1790076921.228,2026-09-22T11:35:21.228+00:00,48a8a908-23c5-40d8-a52a-a48e074dae80,200,,False,292.151,116.95,117,,False,132,logs
56,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,4,,,,1790076923.715,2026-09-22T11:35:23.714+00:00,06238b0c-1ea1-4c91-8308-9e24e465e7f8,200,,False,4056.718,27.43,3598,3570.3,True,133,logs
57,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,4,,,,1790076927.773,2026-09-22T11:35:27.772+00:00,d056b24a-84a4-4b95-9208-3fa528889c4b,200,,False,196.452,17.65,18,,False,133,logs
58,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,4,,,,1790076930.204,2026-09-22T11:35:30.204+00:00,4f922023-ca55-4527-a180-da723ec50b3d,200,,False,1210.454,126.7,900,772.55,True,119,logs
59,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,4,,,,1790076931.416,2026-09-22T11:35:31.415+00:00,ca4bdd1e-b96f-412d-9bbf-64bc3a2728fd,200,,False,218.659,36.98,37,,False,119,logs
60,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,5,,,,1790076933.836,2026-09-22T11:35:33.836+00:00,586608c5-aa84-4290-993c-1e6da54a2afa,200,,False,867.703,133.94,574,439.76,True,109,logs
61,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,5,,,,1790076934.705,2026-09-22T11:35:34.704+00:00,fdf1acfd-477e-4335-85d5-322262db77a7,200,,False,225.763,37.79,38,,False,109,logs
62,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,5,,,,1790076937.092,2026-09-22T11:35:37.092+00:00,2edc05e8-c533-4701-a85a-12a0d0adb839,200,,False,993.781,99.22,712,612.04,True,123,logs
63,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,5,,,,1790076938.087,2026-09-22T11:35:38.087+00:00,0e0e3e04-8f3e-4595-8a42-918978c77383,200,,False,211.249,35.91,36,,False,123,logs
64,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,5,,,,1790076940.365,2026-09-22T11:35:40.365+00:00,bb02940d-99ff-47a0-b380-10efd7abccaa,200,,False,1434.357,164.1,1036,871.68,True,124,logs
65,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,5,,,,1790076941.801,2026-09-22T11:35:41.800+00:00,bd57ad45-acd3-4fb9-bc71-83de09eb0efa,200,,False,448.467,137.92,138,,False,138,logs
66,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,5,,,,1790076944.329,2026-09-22T11:35:44.329+00:00,aac5e2b6-927e-44d0-8855-5dd52402bcc6,200,,False,383.739,21.03,91,69.52,True,41,logs
