seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source,effective_billed_ms,cost_usd
0,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,0,,,,1790078041.51,2026-09-22T11:54:01.510+00:00,f18dbde1-d1be-4e93-a5d2-cb69493834da,200,,False,4069.232,31.28,3502,3469.87,True,132,logs,3502.0,4.6893566799999994e-05
1,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,0,,,,1790078045.581,2026-09-22T11:54:05.580+00:00,cdc5889b-2b38-4e88-bd9a-f8097e9a2572,200,,False,260.345,29.36,30,,False,133,logs,30.0,6.00002e-07
2,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,0,,,,1790078048.374,2026-09-22T11:54:08.373+00:00,60122639-542d-4db0-ae05-f651b2cccba3,200,,False,1977.246,270.39,1403,1132.42,True,129,logs,1403.0,1.89067602e-05
3,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,0,,,,1790078050.352,2026-09-22T11:54:10.351+00:00,32ded5f4-430a-4ebf-9a48-079068b75901,200,,False,336.853,154.96,155,,False,139,logs,155.0,2.2666770000000003e-06
4,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,0,,,,1790078053.084,2026-09-22T11:54:13.083+00:00,c8e7c698-a169-406b-be6b-499c861e2d0e,200,,False,1232.755,130.16,896,765.36,True,121,logs,896.0,1.21467264e-05
5,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,0,,,,1790078054.317,2026-09-22T11:54:14.317+00:00,7fb3358a-0f98-4143-84c0-58e79dee29bd,200,,False,215.857,36.6,37,,False,121,logs,37.0,6.933357999999999e-07
6,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,0,,,,1790078056.942,2026-09-22T11:54:16.941+00:00,d4faf77b-b5d7-467c-bc07-eca4fc2e87ff,200,,False,555.941,150.09,268,117.81,True,79,logs,268.0,3.7733512e-06
7,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790078057.501,2026-09-22T11:54:17.500+00:00,558933c0-fc58-4e1e-be0b-395fe67444a0,200,,False,278.009,95.4,96,,False,79,logs,96.0,1.4800064e-06
8,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,0,,,,1790078060.092,2026-09-22T11:54:20.091+00:00,e3657236-3d8e-432e-b01f-fb5e41422565,200,,False,530.554,32.1,134,101.01,True,41,logs,134.0,1.9866756000000004e-06
9,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790078060.626,2026-09-22T11:54:20.625+00:00,eb0d54b5-76ba-4533-b323-3882720fa272,200,,False,217.153,33.49,34,,False,41,logs,34.0,6.533356e-07
10,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,0,,,,1790078063.268,2026-09-22T11:54:23.268+00:00,528d0c36-73bf-4797-81b7-1ab8e1af6a8f,200,,False,741.874,120.9,454,332.29,True,109,logs,454.0,6.2533636e-06
11,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,0,,,,1790078064.011,2026-09-22T11:54:24.011+00:00,2b224da7-df7a-4a81-b307-ff3cd960538a,200,,False,216.027,28.63,29,,False,109,logs,29.0,5.866686000000001e-07
12,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,1,,,,1790078066.352,2026-09-22T11:54:26.351+00:00,16971a82-4a0f-4d9c-960b-4b24608c9d21,200,,False,840.179,117.97,548,429.12,True,109,logs,548.0,7.5067032e-06
13,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790078067.193,2026-09-22T11:54:27.193+00:00,b044ad7b-871f-444f-a460-b39cfbc46990,200,,False,260.905,48.44,49,,False,109,logs,49.0,8.533366e-07
14,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,1,,,,1790078069.523,2026-09-22T11:54:29.522+00:00,db6e4ab6-81c6-4d39-b3a8-0d3e74184ffb,200,,False,3986.495,30.59,3509,3477.87,True,132,logs,3509.0,4.69869006e-05
15,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,1,,,,1790078073.511,2026-09-22T11:54:33.510+00:00,be4f8132-4df0-414b-9334-dd04a8ba57a5,200,,False,197.331,17.93,18,,False,132,logs,18.0,4.400012e-07
16,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,1,,,,1790078075.823,2026-09-22T11:54:35.822+00:00,44fc68d5-c36c-4c70-a43a-752165502299,200,,False,1764.001,196.34,1331,1134.01,True,124,logs,1331.0,1.7946755400000002e-05
17,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,1,,,,1790078077.588,2026-09-22T11:54:37.588+00:00,e6c540b9-06da-4825-8f85-10ae313fe687,200,,False,354.192,172.13,173,,False,131,logs,173.0,2.5066781999999998e-06
18,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,1,,,,1790078080.014,2026-09-22T11:54:40.014+00:00,c5612851-7fe0-4e0a-9092-74959230bd20,200,,False,437.54,29.2,122,92.62,True,43,logs,122.0,1.8266747999999999e-06
19,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790078080.454,2026-09-22T11:54:40.453+00:00,59d48fef-f577-4f2a-8c2e-14ca7c6b1823,200,,False,217.807,26.87,27,,False,43,logs,27.0,5.600018e-07
20,package_size,live,nodejs-optimised,nodejs,optimised,1024,measure,idle,off,True,update_env,1,,,,1790078082.812,2026-09-22T11:54:42.811+00:00,594678ab-4a53-40ae-aad1-8571f19030c6,200,,False,616.568,174.97,321,145.9,True,79,logs,321.0,4.4800214e-06
21,package_size,live,nodejs-optimised,nodejs,optimised,1024,follow_up,idle,off,False,update_env,1,,,,1790078083.43,2026-09-22T11:54:43.430+00:00,e313ca33-6114-47b7-8362-af7dc78fe29c,200,,False,296.304,115.84,116,,False,79,logs,116.0,1.7466744e-06
22,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,1,,,,1790078085.913,2026-09-22T11:54:45.912+00:00,fd9e6aba-8b93-4bf6-93e2-259d2182e455,200,,False,1260.631,128.69,906,777.15,True,121,logs,906.0,1.22800604e-05
23,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,1,,,,1790078087.174,2026-09-22T11:54:47.174+00:00,06ba67a5-4b5b-48f2-b9d3-e4b56d42cca0,200,,False,213.48,39.02,40,,False,121,logs,40.0,7.33336e-07
24,package_size,live,java-optimised,java,optimised,1024,measure,idle,off,True,update_env,2,,,,1790078089.502,2026-09-22T11:54:49.501+00:00,4029df68-9ebd-49a3-86a6-ef77abff9ea6,200,,False,735.442,93.46,425,331.41,True,107,logs,425.0,5.866695e-06
25,package_size,live,java-optimised,java,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790078090.238,2026-09-22T11:54:50.237+00:00,e2d944a3-def8-4125-b412-9ee5fa79c5d9,200,,False,209.659,28.41,29,,False,107,logs,29.0,5.866686000000001e-07
26,package_size,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,2,,,,1790078092.575,2026-09-22T11:54:52.574+00:00,ca268be2-3ad7-46ad-9771-41d3833f73da,200,,False,478.47,19.49,109,89.5,True,41,logs,109.0,1.6533406e-06
27,package_size,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,2,,,,1790078093.056,2026-09-22T11:54:53.055+00:00,d2d79a66-95f3-43a4-8a2a-7d6a8eff84b8,200,,False,203.143,26.5,27,,False,41,logs,27.0,5.600018e-07
28,package_size,live,nodejs-default,nodejs,default,1024,measure,idle,off,True,update_env,2,,,,1790078095.374,2026-09-22T11:54:55.374+00:00,ddde8ede-e015-4858-8201-8ec5b3a29db9,200,,False,1846.722,234.25,1352,1117.13,True,123,logs,1352.0,1.8226756800000002e-05
29,package_size,live,nodejs-default,nodejs,default,1024,follow_up,idle,off,False,update_env,2,,,,1790078097.223,2026-09-22T11:54:57.222+00:00,18ef5a71-745c-4658-b840-3b68e49d7d69,200,,False,358.68,169.11,170,,False,135,logs,170.0,2.4666780000000003e-06
30,package_size,live,python-default,python,default,1024,measure,idle,off,True,update_env,2,,,,1790078099.75,2026-09-22T11:54:59.750+00:00,f9193b1b-7bff-4bf0-be67-c60d728e4150,200,,False,3987.749,27.29,3499,3470.93,True,132,logs,3499.0,4.68535666e-05
31,package_size,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,2,,,,1790078103.74,2026-09-22T11:55:03.740+00:00,62b1f39e-867f-41ce-aa7d-3e0b0a94758c,200,,False,196.522,19.55,20,,False,132,logs,20.0,4.66668e-07
32,package_size,live,java-default,java,default,1024,measure,idle,off,True,update_env,2,,,,1790078106.138,2026-09-22T11:55:06.137+00:00,7fa8308e-a948-4553-9949-56f39f340e22,200,,False,1218.567,116.81,877,759.71,True,119,logs,877.0,1.18933918e-05
33,package_size,live,java-default,java,default,1024,follow_up,idle,off,False,update_env,2,,,,1790078107.359,2026-09-22T11:55:07.359+00:00,afc30694-aab6-48e5-9643-fd5e64520592,200,,False,232.389,50.36,51,,False,119,logs,51.0,8.800034e-07
