seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source,effective_billed_ms,cost_usd
0,baseline,live,python-default,python,default,128,warmup,steady,off,False,,0,,,,1789974631.927,2026-09-21T07:10:31.926+00:00,aa65d0b7-dde6-4cd5-a9ee-1b94646d8004,200,,False,3414.723,176.69,2865,2687.83,True,112,logs,2865.0,4.975023875e-06
1,baseline,live,python-default,python,default,128,warmup,steady,off,False,,0,,,,1789974635.343,2026-09-21T07:10:35.342+00:00,c1fef726-3ed4-479c-8745-ac17222f2189,200,,False,341.314,152.0,153,,False,112,logs,153.0,4.55001275e-07
2,baseline,live,python-default,python,default,128,measure,steady,off,False,,0,,,,1789974635.685,2026-09-21T07:10:35.685+00:00,ec980558-f84a-4688-b2d4-015bf7f817c7,200,,False,338.871,166.26,167,,False,112,logs,167.0,4.78334725e-07
3,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,0,,,,1789974637.904,2026-09-21T07:10:37.903+00:00,613b4752-17fe-4ccd-9a38-cc9aa2e937f4,200,,False,3587.305,12.65,3040,3026.82,True,132,logs,3040.0,4.0733536e-05
4,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,0,,,,1789974641.493,2026-09-21T07:10:41.492+00:00,2095afca-6dd2-4847-b6d7-c1fd6bcd8fcd,200,,False,217.895,22.62,23,,False,132,logs,23.0,5.066682e-07
5,baseline,live,python-default,python,default,1024,measure,steady,off,False,,0,,,,1789974641.712,2026-09-21T07:10:41.711+00:00,00c6f1aa-8cee-4899-a0e5-c060a5422a94,200,,False,198.592,25.75,26,,False,132,logs,26.0,5.466683999999999e-07
6,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,0,,,,1789974643.74,2026-09-21T07:10:43.740+00:00,2362bf38-0fc5-4e95-b3d4-161f6c025ac2,200,,False,3941.636,17.28,3254,3236.53,True,134,logs,3254.0,0.000127648970575
7,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,0,,,,1789974647.683,2026-09-21T07:10:47.683+00:00,9c0eecc3-87ec-4398-ab04-f38caf3698b3,200,,False,193.611,17.34,18,,False,134,logs,18.0,9.05003525e-07
8,baseline,live,python-default,python,default,3008,measure,steady,off,False,,0,,,,1789974647.88,2026-09-21T07:10:47.879+00:00,e12ce727-64ca-4dc5-ad78-232b64db28ff,200,,False,190.41,16.73,17,,False,134,logs,17.0,8.658366625e-07
9,baseline,live,python-default,python,default,512,warmup,steady,off,False,,0,,,,1789974649.971,2026-09-21T07:10:49.971+00:00,79c8122a-3fad-4bc7-b7fd-a874717ab468,200,,False,4013.728,50.23,3546,3495.65,True,134,logs,3546.0,2.38401182e-05
10,baseline,live,python-default,python,default,512,warmup,steady,off,False,,0,,,,1789974653.986,2026-09-21T07:10:53.986+00:00,0bbabf4a-44db-46c3-931b-08acfc815b42,200,,False,221.759,47.41,48,,False,134,logs,48.0,5.200016e-07
11,baseline,live,python-default,python,default,512,measure,steady,off,False,,0,,,,1789974654.209,2026-09-21T07:10:54.209+00:00,da7556de-b69f-4949-94ac-2227f6f6a4e0,200,,False,217.408,38.58,39,,False,134,logs,39.0,4.600013e-07
12,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,1,,,,1789974656.279,2026-09-21T07:10:56.278+00:00,fbe2764f-b911-4e9f-9267-1ea06d8a51f4,200,,False,3637.189,17.14,3099,3081.45,True,132,logs,3099.0,0.00012157810688750002
13,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,1,,,,1789974659.917,2026-09-21T07:10:59.917+00:00,56efd7cd-7e64-4f82-bade-bdd1590184b3,200,,False,190.693,16.54,17,,False,132,logs,17.0,8.658366625e-07
14,baseline,live,python-default,python,default,3008,measure,steady,off,False,,1,,,,1789974660.109,2026-09-21T07:11:00.109+00:00,9658f6e2-43d1-496f-93c6-7f2d4e7bdbb8,200,,False,191.134,16.36,17,,False,132,logs,17.0,8.658366625e-07
15,baseline,live,python-default,python,default,128,warmup,steady,off,False,,1,,,,1789974662.215,2026-09-21T07:11:02.215+00:00,b9c633ce-93c2-44a6-b2ff-c5f8aad7ae41,200,,False,4263.027,205.61,3766,3559.66,True,113,logs,3766.0,6.47669805e-06
16,baseline,live,python-default,python,default,128,warmup,steady,off,False,,1,,,,1789974666.479,2026-09-21T07:11:06.479+00:00,bdafbd5a-eb75-437a-a884-0533165a959b,200,,False,397.514,219.31,220,,False,113,logs,220.0,5.666685e-07
17,baseline,live,python-default,python,default,128,measure,steady,off,False,,1,,,,1789974666.88,2026-09-21T07:11:06.879+00:00,900b8d74-f416-4daf-b318-0f279e25b55c,200,,False,376.699,202.86,203,,False,113,logs,203.0,5.38335025e-07
18,baseline,live,python-default,python,default,512,warmup,steady,off,False,,1,,,,1789974669.094,2026-09-21T07:11:09.093+00:00,e9a7133f-9d3d-481d-894d-c0bd81c34713,200,,False,4153.777,47.66,3631,3583.07,True,134,logs,3631.0,2.44067877e-05
19,baseline,live,python-default,python,default,512,warmup,steady,off,False,,1,,,,1789974673.25,2026-09-21T07:11:13.249+00:00,13afcef1-022b-4d28-8c31-871a2d9f7509,200,,False,216.516,37.34,38,,False,134,logs,38.0,4.533346e-07
20,baseline,live,python-default,python,default,512,measure,steady,off,False,,1,,,,1789974673.469,2026-09-21T07:11:13.468+00:00,8cec523f-4d4f-4608-86b1-f325bad7dee8,200,,False,217.4,37.58,38,,False,134,logs,38.0,4.533346e-07
21,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,1,,,,1789974675.577,2026-09-21T07:11:15.576+00:00,ded0b880-9c64-452e-97a3-c42c6b4207dd,200,,False,4039.665,29.13,3528,3498.05,True,132,logs,3528.0,4.72402352e-05
22,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,1,,,,1789974679.617,2026-09-21T07:11:19.617+00:00,f9b7bb5d-ae28-485f-89b3-4282d7ed9c6e,200,,False,197.634,21.13,22,,False,132,logs,22.0,4.933348e-07
23,baseline,live,python-default,python,default,1024,measure,steady,off,False,,1,,,,1789974679.816,2026-09-21T07:11:19.816+00:00,c70d4601-6b18-4616-a2ea-de4ba0434227,200,,False,199.183,20.34,21,,False,132,logs,21.0,4.800014000000001e-07
24,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,2,,,,1789974681.945,2026-09-21T07:11:21.944+00:00,9c925e88-0c2b-4bb0-9b8d-db5da6410807,200,,False,3672.866,17.84,3205,3186.23,True,132,logs,3205.0,0.00012572979431249999
25,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,2,,,,1789974685.619,2026-09-21T07:11:25.618+00:00,b4cb8e73-944d-4a7c-87c5-63e280edd71a,200,,False,197.32,16.93,17,,False,132,logs,17.0,8.658366625e-07
26,baseline,live,python-default,python,default,3008,measure,steady,off,False,,2,,,,1789974685.817,2026-09-21T07:11:25.817+00:00,c0adf5f9-82a1-49cc-bdaf-c02a64dd75c5,200,,False,191.71,17.0,18,,False,132,logs,18.0,9.05003525e-07
27,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,2,,,,1789974687.881,2026-09-21T07:11:27.881+00:00,cb9b302d-ce5d-487f-85b4-2801eca2bdd4,200,,False,3926.372,28.62,3466,3436.55,True,132,logs,3466.0,4.64135644e-05
28,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,2,,,,1789974691.808,2026-09-21T07:11:31.808+00:00,8bb55f9f-aff3-448b-93f9-f29f03b92dad,200,,False,198.579,20.22,21,,False,132,logs,21.0,4.800014000000001e-07
29,baseline,live,python-default,python,default,1024,measure,steady,off,False,,2,,,,1789974692.008,2026-09-21T07:11:32.007+00:00,bc0e5782-c977-4998-953f-109f15596b98,200,,False,197.982,19.76,20,,False,132,logs,20.0,4.66668e-07
