seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
0,baseline,live,python-default,python,default,128,warmup,steady,off,False,,0,,,,1789977857.014,2026-09-21T08:04:17.014+00:00,c920c77d-aa72-4ee3-882f-fc43b849327f,200,,False,4454.418,204.36,3700,3495.12,True,112,logs
1,baseline,live,python-default,python,default,128,warmup,steady,off,False,,0,,,,1789977861.47,2026-09-21T08:04:21.470+00:00,d9150851-2295-4b62-9fef-4933a8abbdfc,200,,False,359.198,193.05,194,,False,112,logs
2,baseline,live,python-default,python,default,128,measure,steady,off,False,,0,,,,1789977861.832,2026-09-21T08:04:21.832+00:00,318735dd-fa94-4add-8007-cdc01fc368c6,200,,False,377.718,197.85,198,,False,112,logs
3,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,0,,,,1789977864.007,2026-09-21T08:04:24.006+00:00,5939adac-8125-4eb2-9634-be89345f22d9,200,,False,4032.372,27.31,3542,3514.46,True,134,logs
4,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,0,,,,1789977868.04,2026-09-21T08:04:28.040+00:00,76247755-ada4-4665-b635-6ea9177547f3,200,,False,198.575,30.13,31,,False,134,logs
5,baseline,live,python-default,python,default,1024,measure,steady,off,False,,0,,,,1789977868.242,2026-09-21T08:04:28.241+00:00,968b617c-a514-45aa-9fa3-6088e6b3e6ec,200,,False,197.062,30.12,31,,False,134,logs
6,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,0,,,,1789977870.268,2026-09-21T08:04:30.268+00:00,09240b3e-a729-4116-959b-a5c0a7d26942,200,,False,3840.784,18.46,3161,3141.7,True,132,logs
7,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,0,,,,1789977874.11,2026-09-21T08:04:34.110+00:00,2cff3cfa-fd19-4c8f-bc23-947d3bf01fb0,200,,False,185.766,16.43,17,,False,132,logs
8,baseline,live,python-default,python,default,3008,measure,steady,off,False,,0,,,,1789977874.297,2026-09-21T08:04:34.296+00:00,42c41a52-7027-4770-9317-97b4ba121f8b,200,,False,182.075,16.45,17,,False,132,logs
9,baseline,live,python-default,python,default,512,warmup,steady,off,False,,0,,,,1789977876.288,2026-09-21T08:04:36.288+00:00,a46382ec-6a4d-48fb-abf6-2318d676ca30,200,,False,3150.857,36.73,2747,2709.55,True,132,logs
10,baseline,live,python-default,python,default,512,warmup,steady,off,False,,0,,,,1789977879.442,2026-09-21T08:04:39.441+00:00,dae4275e-04fd-4689-8dd2-1bed57dc1037,200,,False,217.255,50.95,51,,False,132,logs
11,baseline,live,python-default,python,default,512,measure,steady,off,False,,0,,,,1789977879.66,2026-09-21T08:04:39.660+00:00,289368df-6c63-4ee1-a8e1-9acd925da542,200,,False,218.305,49.44,50,,False,132,logs
12,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,1,,,,1789977881.682,2026-09-21T08:04:41.681+00:00,2455b8b7-e1f9-49d5-a417-f001dacc3636,200,,False,2951.569,12.57,2565,2552.06,True,132,logs
13,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,1,,,,1789977884.635,2026-09-21T08:04:44.634+00:00,9b347b13-c07f-4799-ac3e-49b5daa91ea6,200,,False,181.591,11.71,12,,False,132,logs
14,baseline,live,python-default,python,default,3008,measure,steady,off,False,,1,,,,1789977884.819,2026-09-21T08:04:44.819+00:00,6f8064c9-ee73-4863-afef-7cf72b98ee65,200,,False,174.117,11.7,12,,False,132,logs
15,baseline,live,python-default,python,default,128,warmup,steady,off,False,,1,,,,1789977886.911,2026-09-21T08:04:46.911+00:00,b4934be6-5663-4eed-b00f-02972d122d21,200,,False,4218.912,204.35,3757,3552.38,True,111,logs
16,baseline,live,python-default,python,default,128,warmup,steady,off,False,,1,,,,1789977891.131,2026-09-21T08:04:51.131+00:00,6d90d042-6e9f-4bde-adcc-71aec73c13bf,200,,False,400.723,232.65,233,,False,111,logs
17,baseline,live,python-default,python,default,128,measure,steady,off,False,,1,,,,1789977891.533,2026-09-21T08:04:51.533+00:00,0265b529-736e-4b86-8b38-bffb8c9f9169,200,,False,397.622,212.39,213,,False,111,logs
18,baseline,live,python-default,python,default,512,warmup,steady,off,False,,1,,,,1789977893.78,2026-09-21T08:04:53.780+00:00,3bdb002e-24aa-4641-8657-45181c0d50a2,200,,False,4234.639,50.27,3659,3608.61,True,132,logs
19,baseline,live,python-default,python,default,512,warmup,steady,off,False,,1,,,,1789977898.016,2026-09-21T08:04:58.015+00:00,20d82290-f2d1-4f6d-9ee4-bf53fae12e51,200,,False,217.978,48.19,49,,False,132,logs
20,baseline,live,python-default,python,default,512,measure,steady,off,False,,1,,,,1789977898.237,2026-09-21T08:04:58.236+00:00,d7a6984a-4790-4383-8c0d-99a542d0a9b1,200,,False,218.571,36.47,37,,False,132,logs
21,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,1,,,,1789977900.337,2026-09-21T08:05:00.337+00:00,b93fbe66-9800-4c87-8bab-b12807df6c8a,200,,False,3402.741,17.82,2922,2903.25,True,132,logs
22,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,1,,,,1789977903.741,2026-09-21T08:05:03.740+00:00,8788922c-0d01-428a-9aa7-54365915f2a2,200,,False,195.981,23.83,24,,False,132,logs
23,baseline,live,python-default,python,default,1024,measure,steady,off,False,,1,,,,1789977903.938,2026-09-21T08:05:03.938+00:00,7f47ff6b-5650-423c-aebd-9befad948470,200,,False,224.48,34.14,35,,False,132,logs
24,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,2,,,,1789977906.062,2026-09-21T08:05:06.061+00:00,9692dbe3-70a0-43aa-bca9-b51f91bf6013,200,,False,2714.097,12.04,2297,2284.62,True,132,logs
25,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,2,,,,1789977908.777,2026-09-21T08:05:08.777+00:00,52cae5fa-0659-4803-8bce-5101a41d90b7,200,,False,182.706,12.04,13,,False,132,logs
26,baseline,live,python-default,python,default,3008,measure,steady,off,False,,2,,,,1789977908.962,2026-09-21T08:05:08.962+00:00,dfd642bc-ebdf-4b95-b1fa-f11f5e187432,200,,False,176.534,11.48,12,,False,132,logs
27,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,2,,,,1789977910.952,2026-09-21T08:05:10.951+00:00,442f7b8a-54ba-4718-9c28-6dd90ff3433d,200,,False,3901.274,26.97,3469,3441.49,True,134,logs
28,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,2,,,,1789977914.854,2026-09-21T08:05:14.854+00:00,6db29daa-84c8-4402-9c35-25cae856d9d8,200,,False,197.028,27.46,28,,False,134,logs
29,baseline,live,python-default,python,default,1024,measure,steady,off,False,,2,,,,1789977915.052,2026-09-21T08:05:15.052+00:00,e64b08d6-d798-4f01-ae3d-7a145bf470ea,200,,False,198.302,26.46,27,,False,134,logs
30,baseline,live,python-default,python,default,512,warmup,steady,off,False,,2,,,,1789977917.121,2026-09-21T08:05:17.121+00:00,031fbd8e-4e79-4256-8dde-1b9a82d95af6,200,,False,3278.326,36.63,2886,2849.06,True,132,logs
31,baseline,live,python-default,python,default,512,warmup,steady,off,False,,2,,,,1789977920.4,2026-09-21T08:05:20.400+00:00,ae7ca027-9825-4957-981b-1eec23d91e99,200,,False,216.554,50.18,51,,False,132,logs
32,baseline,live,python-default,python,default,512,measure,steady,off,False,,2,,,,1789977920.618,2026-09-21T08:05:20.618+00:00,22c17e76-ec30-49fb-ace9-bebfc541c2d8,200,,False,198.738,34.13,35,,False,132,logs
33,baseline,live,python-default,python,default,128,warmup,steady,off,False,,2,,,,1789977922.614,2026-09-21T08:05:22.614+00:00,7bb081a1-a11f-4f0c-9c0b-590419af1753,200,,False,4111.542,207.9,3644,3435.75,True,111,logs
34,baseline,live,python-default,python,default,128,warmup,steady,off,False,,2,,,,1789977926.727,2026-09-21T08:05:26.726+00:00,a68c6efc-4634-4a3c-bc13-82f2b882bc7c,200,,False,378.557,208.68,209,,False,111,logs
35,baseline,live,python-default,python,default,128,measure,steady,off,False,,2,,,,1789977927.106,2026-09-21T08:05:27.106+00:00,6ad2e2f1-9921-4901-b0d6-08050594d3a3,200,,False,358.953,193.59,194,,False,111,logs
36,baseline,live,python-default,python,default,128,warmup,steady,off,False,,3,,,,1789977927.467,2026-09-21T08:05:27.466+00:00,d97b6f7a-a201-41b8-8abf-20adff5213e1,200,,False,380.357,200.74,201,,False,111,logs
37,baseline,live,python-default,python,default,128,warmup,steady,off,False,,3,,,,1789977927.848,2026-09-21T08:05:27.847+00:00,3526a6b3-0fe7-4f06-8e86-213b69a497fb,200,,False,357.705,192.06,193,,False,111,logs
38,baseline,live,python-default,python,default,128,measure,steady,off,False,,3,,,,1789977928.208,2026-09-21T08:05:28.208+00:00,5788b3f7-be37-4cdb-9056-c08e904595ed,200,,False,377.264,210.72,211,,False,111,logs
39,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,3,,,,1789977930.464,2026-09-21T08:05:30.463+00:00,32093a61-63c6-45b2-968a-bbee5ce6737c,200,,False,3576.582,17.2,3114,3095.97,True,132,logs
40,baseline,live,python-default,python,default,3008,warmup,steady,off,False,,3,,,,1789977934.042,2026-09-21T08:05:34.041+00:00,f4ce584a-6897-40ec-aff3-d3495c79827c,200,,False,179.873,16.63,17,,False,132,logs
41,baseline,live,python-default,python,default,3008,measure,steady,off,False,,3,,,,1789977934.223,2026-09-21T08:05:34.222+00:00,33531241-2342-4d46-8ca6-1c8060d015fc,200,,False,183.917,16.53,17,,False,132,logs
42,baseline,live,python-default,python,default,512,warmup,steady,off,False,,3,,,,1789977936.232,2026-09-21T08:05:36.232+00:00,7a28f67a-6fee-4e85-8c38-8abb853020f9,200,,False,3852.47,36.26,3411,3374.12,True,135,logs
43,baseline,live,python-default,python,default,512,warmup,steady,off,False,,3,,,,1789977940.087,2026-09-21T08:05:40.087+00:00,36f3e2e7-a45f-4ac5-b19d-b153889d566f,200,,False,197.518,32.3,33,,False,135,logs
44,baseline,live,python-default,python,default,512,measure,steady,off,False,,3,,,,1789977940.288,2026-09-21T08:05:40.287+00:00,950fc6b4-95d8-4949-86ed-02fc55b7e889,200,,False,217.043,46.86,47,,False,135,logs
45,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,3,,,,1789977942.314,2026-09-21T08:05:42.313+00:00,eac45afd-c376-442a-8af8-b52d426655e5,200,,False,3346.022,17.09,2957,2939.24,True,134,logs
46,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,3,,,,1789977945.661,2026-09-21T08:05:45.660+00:00,54e24802-8818-4dce-8c62-323dde407493,200,,False,197.548,27.73,28,,False,134,logs
47,baseline,live,python-default,python,default,1024,measure,steady,off,False,,3,,,,1789977945.861,2026-09-21T08:05:45.861+00:00,acc52674-5198-42a2-ae40-e28089e8b94b,200,,False,197.088,31.34,32,,False,134,logs
48,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,4,,,,1789977946.059,2026-09-21T08:05:46.059+00:00,46c19370-896e-4323-b19e-af017d5ea30a,200,,False,179.278,13.24,14,,False,134,logs
49,baseline,live,python-default,python,default,1024,warmup,steady,off,False,,4,,,,1789977946.24,2026-09-21T08:05:46.239+00:00,efa9c9be-7c36-4b8d-95be-62da00076554,200,,False,198.247,30.21,31,,False,134,logs
