phase,function,memory_mb,calls,error_rate,cold_n,init_p50_ms,init_p95_ms,init_p99_ms,cold_duration_p50_ms,warm_duration_p50_ms,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,cold_fraction,intended_cold_came_back_warm,cost_per_1k_usd
baseline,python-default,128,10,0.0,0,,,,,196.505,367.849,424.30524999999994,441.77065,0.0,0,0.000528334975
baseline,python-default,512,10,0.0,0,,,,,41.83,216.53050000000002,228.94545,235.57629,0.0,0,0.0004853347599999999
baseline,python-default,1024,10,0.0,0,,,,,30.22,197.14350000000002,212.86234999999996,222.15646999999998,0.0,0,0.0005680018400000001
baseline,python-default,3008,10,0.0,0,,,,,13.96,178.40949999999998,183.08855,183.75131,0.0,0,0.00076791950625
burst,java-optimised,1024,100,0.0,50,423.195,444.134,447.83480000000003,122.58500000000001,42.04,890.9110000000001,1668.8497,2501.2882500000014,0.5,50,0.0041273529699999995
burst,nodejs-optimised,1024,100,0.0,50,144.82,151.58700000000002,156.7017,193.57999999999998,127.15,777.9549999999999,1728.4822000000001,1779.8780800000002,0.5,50,0.003311882226
burst,python-optimised,1024,100,0.0,48,88.4,103.23349999999999,119.50540000000002,25.345,22.15,519.398,1119.1700499999995,1634.6434400000005,0.48,52,0.0011090712120000001
runtime_compare,java-optimised,1024,10,0.0,5,330.01,419.736,424.3952,110.69,36.24,453.97,845.6717,855.38954,0.5,0,0.00357868356
runtime_compare,nodejs-optimised,1024,10,0.0,5,146.68,199.706,209.8372,196.11,123.53,453.37399999999997,697.33515,726.2046300000001,0.5,0,0.003378682560000001
runtime_compare,python-optimised,1024,10,0.0,5,88.91,154.41,166.706,27.1,26.46,296.704,458.2882999999999,488.06966,0.5,0,0.0012293384799999998
