Accuracy,Precision,Recall,Macro-F1,ROC-AUC,Transient Violation Recall,Transient Underprediction Bias,Fail-Accuracy,Fail-Precision,Fail-Recall,Fail-F1,Fail-ROC-AUC,Model,Seed,Latency (ms),dataset
0.9575,0.5062,0.5045,0.5052,,0.1654,1.653,0.8619,0.7578,0.6617,0.7065,,Threshold Baseline,42,0.0001,gct
0.973,0.5626,0.52,0.5223,0.9148,0.1735,1.6206,0.905,0.9058,0.694,0.7859,0.952,RF (classical),42,0.2336,gct
0.9697,0.5587,0.5188,0.5219,0.8843,0.1698,1.6294,0.8919,0.8612,0.6791,0.7594,0.9413,KNN (classical),42,0.0446,gct
0.9708,0.5173,0.5175,0.5172,,0.1748,1.6175,0.8981,0.87,0.699,0.7752,0.9485,SVM (classical),42,0.1515,gct
0.9259,0.5321,0.5513,0.5188,0.9039,0.2388,1.5728,0.7719,0.5253,0.9552,0.6778,0.9417,MHSA-PerHead,42,0.0057,gct
0.9328,0.5378,0.5498,0.5214,0.9106,0.2332,1.5908,0.8056,0.569,0.9328,0.7069,0.9454,MHSA-Fused,42,0.0061,gct
0.9264,0.5183,0.5335,0.513,0.8801,0.2432,1.5267,0.7606,0.5125,0.9726,0.6712,0.9403,Aldomi-style GRU+FS (scaffold),42,0.0026,gct
0.962,0.5172,0.5107,0.5134,,0.166,1.6542,0.8731,0.797,0.6642,0.7246,,Threshold Baseline,43,0.0,gct
0.9741,0.5242,0.5181,0.5203,0.921,0.1685,1.6331,0.905,0.9281,0.6741,0.781,0.956,RF (classical),43,0.2379,gct
0.9714,0.5628,0.5187,0.5239,0.8782,0.1642,1.6437,0.8944,0.8949,0.6567,0.7575,0.9411,KNN (classical),43,0.0313,gct
0.9733,0.5223,0.5177,0.5194,,0.1698,1.6306,0.9031,0.913,0.6791,0.7789,0.9528,SVM (classical),43,0.113,gct
0.9245,0.5423,0.553,0.5168,0.92,0.2376,1.6045,0.7931,0.5511,0.9527,0.6983,0.947,MHSA-PerHead,43,0.005,gct
0.9298,0.5307,0.5509,0.5209,0.9087,0.2419,1.5466,0.7738,0.5271,0.9677,0.6825,0.9542,MHSA-Fused,43,0.0049,gct
0.9436,0.5366,0.5397,0.519,0.9018,0.2214,1.6262,0.8619,0.6704,0.8856,0.7631,0.9469,Aldomi-style GRU+FS (scaffold),43,0.0022,gct
0.962,0.8858,0.8835,0.8845,,0.6866,0.5672,0.8731,0.7819,0.6866,0.7311,,Threshold Baseline,44,0.0,gct
0.9745,0.8956,0.8957,0.8956,0.9368,0.7363,0.4104,0.9106,0.8889,0.7363,0.8054,0.9594,RF (classical),44,0.2396,gct
0.9739,0.8963,0.8943,0.895,0.8926,0.7139,0.4602,0.9069,0.8941,0.7139,0.7939,0.9453,KNN (classical),44,0.0311,gct
0.9755,0.8959,0.8966,0.8962,,0.7512,0.3781,0.9163,0.8988,0.7512,0.8184,0.9586,SVM (classical),44,0.1517,gct
0.9195,0.9189,0.9361,0.8923,0.929,0.9751,0.3657,0.7606,0.5124,0.9751,0.6718,0.9564,MHSA-PerHead,44,0.0047,gct
0.9491,0.9149,0.9274,0.9043,0.9298,0.903,0.3458,0.8525,0.6482,0.903,0.7547,0.9569,MHSA-Fused,44,0.0049,gct
0.9575,0.9044,0.9208,0.9054,0.9149,0.893,0.2662,0.8719,0.6891,0.893,0.7779,0.944,Aldomi-style GRU+FS (scaffold),44,0.0022,gct
0.96,0.883,0.8824,0.8826,,0.6692,0.5771,0.8662,0.7686,0.6692,0.7154,,Threshold Baseline,45,0.0001,gct
0.9717,0.8942,0.8926,0.893,0.9238,0.6841,0.495,0.8988,0.8871,0.6841,0.7725,0.9544,RF (classical),45,0.2305,gct
0.9708,0.8933,0.892,0.8924,0.8852,0.6791,0.505,0.8944,0.8722,0.6791,0.7636,0.9419,KNN (classical),45,0.0325,gct
0.9725,0.895,0.8938,0.8941,,0.6891,0.4826,0.9,0.8878,0.6891,0.7759,0.9513,SVM (classical),45,0.2206,gct
0.9405,0.9153,0.9232,0.8972,0.9182,0.9005,0.4701,0.8431,0.6318,0.9005,0.7426,0.9449,MHSA-PerHead,45,0.0047,gct
0.9395,0.9148,0.929,0.9007,0.9148,0.9204,0.3682,0.8263,0.6006,0.9204,0.7269,0.9443,MHSA-Fused,45,0.0049,gct
0.9292,0.8925,0.9071,0.8887,0.8804,0.9701,0.0746,0.765,0.5172,0.9701,0.6747,0.9417,Aldomi-style GRU+FS (scaffold),45,0.0023,gct
0.9603,0.8852,0.8813,0.883,,0.6642,0.6144,0.8662,0.7717,0.6642,0.7139,,Threshold Baseline,46,0.0001,gct
0.9731,0.8966,0.8925,0.894,0.9252,0.6791,0.5224,0.9006,0.901,0.6791,0.7745,0.9561,RF (classical),46,0.2534,gct
0.9711,0.9771,0.893,0.8956,0.9058,0.6741,0.5348,0.8912,0.8631,0.6741,0.757,0.9502,KNN (classical),46,0.0328,gct
0.9725,0.8945,0.893,0.8935,,0.699,0.4826,0.9,0.8781,0.699,0.7784,0.9539,SVM (classical),46,0.1733,gct
0.925,0.7882,0.804,0.7693,0.9154,0.9776,0.2836,0.7738,0.5268,0.9776,0.6847,0.9478,MHSA-PerHead,46,0.0049,gct
0.9269,0.918,0.9362,0.8927,0.9296,0.9677,0.4204,0.8,0.5589,0.9677,0.7086,0.9534,MHSA-Fused,46,0.0049,gct
0.9542,0.9042,0.9225,0.9038,0.9115,0.9005,0.2935,0.8656,0.6741,0.9005,0.771,0.9418,Aldomi-style GRU+FS (scaffold),46,0.0022,gct
