,Accuracy,Accuracy,Precision,Precision,Recall,Recall,Macro-F1,Macro-F1,ROC-AUC,ROC-AUC,Fail-Accuracy,Fail-Accuracy,Fail-Precision,Fail-Precision,Fail-Recall,Fail-Recall,Fail-F1,Fail-F1,Fail-ROC-AUC,Fail-ROC-AUC,Transient Violation Recall,Transient Violation Recall,Transient Underprediction Bias,Transient Underprediction Bias,Latency (ms),Latency (ms)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldomi GRU-KNN,0.9403,0.0012,0.8282,0.0146,0.6073,0.009,0.6623,0.0091,0.7243,0.0715,0.9392,0.0014,0.8727,0.0254,0.3469,0.0233,0.4958,0.0216,0.7453,0.0127,0.3314,0.021,1.3354,0.0424,0.0471,0.0026
Aldomi GRU-RF,0.9425,0.0006,0.8332,0.009,0.6197,0.0058,0.6764,0.0054,0.7531,0.1275,0.9411,0.0005,0.8651,0.0345,0.3768,0.0164,0.5244,0.0095,0.7882,0.0143,0.3581,0.0139,1.2819,0.0272,0.2905,0.007
KNN (classical),0.9318,0.0029,0.8235,0.0236,0.5511,0.012,0.5937,0.0172,0.7013,0.0709,0.9305,0.0028,0.8751,0.0429,0.2261,0.024,0.3591,0.033,0.7075,0.0053,0.2069,0.025,1.5843,0.0495,0.0477,0.0051
MHSA-Fused,0.9223,0.0016,0.6841,0.0083,0.5809,0.0057,0.613,0.0063,0.6172,0.1054,0.9221,0.0022,0.5904,0.0242,0.3159,0.0126,0.4116,0.0161,0.6287,0.051,0.2902,0.0126,1.4176,0.0251,0.0053,0.0002
MHSA-PerHead,0.9211,0.0022,0.6776,0.0106,0.5843,0.0048,0.6146,0.0063,0.5708,0.1099,0.9191,0.0049,0.556,0.0499,0.3237,0.0076,0.4087,0.0184,0.6075,0.0309,0.2996,0.0099,1.3988,0.0194,0.0054,0.0007
RF (classical),0.9439,0.0022,0.8805,0.0086,0.6087,0.0111,0.6701,0.0129,0.8123,0.0516,0.9429,0.0027,0.9606,0.0229,0.3527,0.0288,0.5154,0.0312,0.7815,0.0217,0.3298,0.0245,1.3384,0.0486,0.276,0.0062
SVM (classical),0.9226,0.0012,0.7176,0.0314,0.5045,0.0071,0.5215,0.0118,,,0.9285,0.001,0.8376,0.0345,0.2126,0.0059,0.339,0.0081,0.6263,0.0156,0.1145,0.0149,1.769,0.0291,0.1118,0.0098
Threshold Baseline,0.9208,0.0007,0.4951,0.0033,0.4748,0.0012,0.4665,0.0017,,,0.9287,0.0022,0.8579,0.0497,0.2087,0.0154,0.3355,0.0224,,,0.0522,0.0039,1.8959,0.0069,0.0001,0.0
