Accuracy,Precision,Recall,Macro-F1,ROC-AUC,Transient Violation Recall,Transient Underprediction Bias,Model,Seed,Latency (ms)
0.8474,0.3014,0.3283,0.312,,0.0284,1.7126,Threshold Baseline,42,0.0001
0.9516,0.5464,0.5049,0.5213,0.9163,0.4725,0.7968,RF (classical),42,0.3738
0.931,0.5406,0.4524,0.4784,0.7927,0.3242,1.0934,KNN (classical),42,0.0722
0.9434,0.5337,0.4881,0.5054,,0.4322,0.8774,SVM (classical),42,0.0459
0.8654,0.5409,0.735,0.558,0.9266,0.8854,0.2139,MHSA-PerHead (baseline),42,0.0063
0.8484,0.542,0.7392,0.5482,0.9267,0.9001,0.2962,MHSA-Fused (improved),42,0.0059
0.8469,0.3006,0.3328,0.3141,,0.0266,1.7212,Threshold Baseline,43,0.0001
0.9548,0.5486,0.5095,0.5252,0.9056,0.4917,0.7645,RF (classical),43,0.3914
0.9322,0.5421,0.4527,0.4791,0.7836,0.327,1.0938,KNN (classical),43,0.063
0.9456,0.5359,0.4906,0.5078,,0.4422,0.8634,SVM (classical),43,0.0414
0.8866,0.5671,0.7544,0.5789,0.9348,0.8971,0.1709,MHSA-PerHead (baseline),43,0.0055
0.8764,0.5599,0.7339,0.5701,0.9317,0.8853,0.2981,MHSA-Fused (improved),43,0.005
0.8439,0.2986,0.3287,0.3116,,0.0227,1.7181,Threshold Baseline,44,0.0001
0.9524,0.5455,0.5104,0.5247,0.9123,0.4863,0.7684,RF (classical),44,0.3585
0.9297,0.5362,0.452,0.4769,0.7929,0.3221,1.0969,KNN (classical),44,0.0593
0.9427,0.528,0.4925,0.5065,,0.4466,0.8479,SVM (classical),44,0.0384
0.8718,0.5512,0.7159,0.5595,0.9277,0.87,0.3358,MHSA-PerHead (baseline),44,0.0056
0.8818,0.5551,0.7156,0.5661,0.9289,0.8735,0.3433,MHSA-Fused (improved),44,0.0068
0.8495,0.3045,0.3327,0.3158,,0.0244,1.6962,Threshold Baseline,45,0.0001
0.9519,0.5463,0.5067,0.5224,0.8946,0.4743,0.7725,RF (classical),45,0.3874
0.9293,0.539,0.4519,0.4773,0.7697,0.3208,1.0795,KNN (classical),45,0.0624
0.9423,0.5313,0.4889,0.5051,,0.43,0.8612,SVM (classical),45,0.0475
0.8747,0.5552,0.6991,0.5621,0.92,0.8386,0.3587,MHSA-PerHead (baseline),45,0.0057
0.8181,0.5399,0.7187,0.5403,0.9166,0.9079,0.2265,MHSA-Fused (improved),45,0.0058
0.8489,0.2989,0.3293,0.3123,,0.0241,1.7244,Threshold Baseline,46,0.0001
0.952,0.552,0.5046,0.5226,0.8852,0.4675,0.8135,RF (classical),46,0.4046
0.93,0.5423,0.4501,0.4764,0.7815,0.3174,1.1138,KNN (classical),46,0.0608
0.9436,0.5367,0.4889,0.5065,,0.4339,0.8808,SVM (classical),46,0.0504
0.8677,0.5654,0.6893,0.5603,0.9125,0.8274,0.413,MHSA-PerHead (baseline),46,0.0053
0.8623,0.5509,0.6934,0.5581,0.9041,0.8374,0.3038,MHSA-Fused (improved),46,0.0053
