time_s,cpu_cores_sum,mem_sum,n_machines,sample_note
0,14.428055566666666,82.81337303333333,4.933333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
300,26.3115079,88.04904766666667,5.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
600,25.9366799,87.70137563333333,5.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
900,28.364193133333334,86.7798545,4.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
1200,26.417017766666667,88.25242773333333,5.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
1500,25.514960366666667,86.57694446666666,5.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
1800,23.157500033333335,85.2326587,5.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
2100,19.146388933333334,82.77938673333333,5.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
2400,22.835502599999998,84.20324066666667,5.9,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
2700,23.7872965,84.73257323333334,4.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
3000,24.270872999999998,85.9668254,5.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
3300,19.106772499999998,85.33156086666666,5.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
3600,25.026480499999998,85.63808909999999,5.7,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
3900,20.4125782,85.2485714,6.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
4200,17.9132804,84.35769846666668,5.966666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
4500,31.596944466666667,89.02424603333334,4.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
4800,30.846944533333332,83.511627,5.5,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
5100,32.60944443333333,80.07129626666666,5.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
5400,36.89651756666667,84.09055916666667,5.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
5700,30.057765533333335,79.9061966,5.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
6000,24.51294976666667,79.12001323333334,5.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
6300,25.5692292,79.05154636666666,6.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
6600,28.951600566666666,81.44243383333334,6.366666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
6900,26.131560866666668,80.94222223333333,5.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
7200,30.471851833333336,83.1245106,6.133333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
7500,27.210992033333333,84.56535713333332,6.166666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
7800,30.0367328,81.47867723333334,6.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
8100,31.625523166666664,81.29494233333334,6.6,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
8400,26.572949766666667,78.6392725,6.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
8700,24.845122266666667,79.48004783333333,7.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
9000,28.9293732,79.01675416666667,6.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
