time_s,cpu_cores_sum,mem_sum,n_tasks
90000,5.96562500,5.98490780,596
90300,390.62812500,658.32217417,48465
90600,379.04375000,657.66300708,52680
90900,378.18750000,650.33585967,46259
91200,394.32500000,671.59064389,47902
91500,404.61875000,683.58151488,49681
91800,404.40312500,695.31268355,48697
92100,417.45937500,701.36766514,48402
92400,444.21875000,708.65274057,50394
92700,379.28437500,700.15079353,47295
93000,403.32812500,712.18465117,50294
93300,396.16875000,708.74974722,49415
93600,404.90625000,712.63192020,50660
93900,415.65000000,711.74604927,50301
94200,367.15000000,650.38410528,44241
94500,394.87500000,682.61205416,48137
94800,429.23750000,699.26503779,49578
95100,380.53750000,697.83414134,47943
95400,395.58125000,714.14076528,49871
95700,394.14687500,709.33120433,49561
96000,392.20625000,709.23421294,48785
96300,389.67500000,703.34627244,47057
96600,393.63750000,701.68283496,46704
96900,391.07812500,703.31587693,46654
97200,371.12812500,674.67828616,46355
97500,350.90000000,648.74567942,42733
97800,359.70312500,659.18762603,45991
98100,393.46250000,679.17655583,49522
98400,343.78750000,654.52084509,45325
98700,383.07812500,692.39798173,49045
99000,412.25000000,720.81958404,52867
99300,350.50937500,653.10123824,45791
99600,381.23750000,680.48391352,47260
99900,418.37500000,696.25537788,48939
100200,412.46875000,699.89205483,47943
100500,419.58437500,703.85580952,47875
100800,408.28437500,706.66172096,47941
101100,407.87500000,702.50739129,47896
101400,426.06250000,705.06999386,47821
101700,438.01250000,713.92765342,50523
102000,395.88437500,702.91857639,46294
102300,414.14375000,710.46221459,49100
102600,427.62500000,717.28355899,51844
102900,358.09375000,658.07654751,44274
103200,371.30625000,653.79802871,44758
103500,361.39062500,671.82972561,48929
103800,359.36562500,668.15066438,46945
104100,409.00625000,702.28097236,49476
104400,401.17812500,703.68743417,47743
104700,383.86250000,711.45315850,49347
105000,400.31562500,712.33711131,48812
105300,394.68125000,715.74557997,48944
105600,346.79062500,658.11047438,45302
105900,362.11875000,681.27242175,45860
106200,381.03750000,693.97936658,45438
106500,388.73750000,703.52935388,46390
106800,353.41875000,656.93943613,43030
107100,382.28125000,688.74773751,47600
107400,339.55937500,653.82180644,42472
107700,383.84375000,695.82735587,47657
108000,389.10312500,703.49831745,47349
108300,386.52187500,699.78935711,44938
108600,408.68125000,713.46915537,48077
108900,383.30000000,703.08226766,46092
109200,395.44062500,712.28495022,47887
109500,398.23750000,714.68237545,48662
109800,392.06562500,700.53859644,46557
110100,399.72187500,699.47837673,46275
110400,428.77812500,699.63194651,48734
110700,405.35937500,670.09400825,46656
111000,378.09062500,644.85903150,45295
111300,423.20000000,681.78359757,48591
111600,419.99375000,682.88646152,47712
111900,417.14687500,681.16765857,46359
112200,429.92187500,685.90645997,47560
112500,0.00000000,20.48718194,4671
