time_s,cpu_cores_sum,mem_sum,n_tasks,source_part
600,2432.13602994,2779.76891643,144348,part-00000-of-00500.csv.gz
900,2438.38635457,2780.34330818,144222,part-00000-of-00500.csv.gz
1200,2521.19745704,2770.41317035,153278,part-00000-of-00500.csv.gz
1500,3026.10950152,2791.08382627,156127,part-00000-of-00500.csv.gz
1800,2813.39632977,2744.16547665,145568,part-00000-of-00500.csv.gz
2100,3353.41747273,2835.32143887,166103,part-00000-of-00500.csv.gz
2400,2843.01946486,2854.09858111,164042,part-00000-of-00500.csv.gz
2700,2412.28911161,2801.36490890,156897,part-00000-of-00500.csv.gz
3000,2389.77421941,2850.45421551,147470,part-00000-of-00500.csv.gz
3300,2622.15424151,2861.72877156,143087,part-00000-of-00500.csv.gz
3600,2754.57785123,2886.65918237,139691,part-00000-of-00500.csv.gz
3900,2698.35256896,2902.69990970,144791,part-00000-of-00500.csv.gz
4200,2616.62226858,2896.76847167,146128,part-00000-of-00500.csv.gz
4500,2437.90087590,2890.77385447,141431,part-00000-of-00500.csv.gz
4800,2396.91459265,2869.72501499,146267,part-00000-of-00500.csv.gz
5100,2194.59237070,2784.94475660,144707,part-00000-of-00500.csv.gz
5400,2047.56959272,2704.33695673,136616,part-00000-of-00500.csv.gz
