time_step,actual_workload_rps,absolute_min_pods_req,hpa_allocated_pods,paks_allocated_pods
0,1415.5651444483724,15.0,21.0,21.0
1,1056.8684362506724,11.0,21.0,16.0
2,1231.321630142532,13.0,16.0,18.0
3,1243.3854318886058,13.0,18.0,18.0
4,1505.550042749364,16.0,18.0,22.0
5,1454.8445662495005,15.0,22.0,21.0
6,1467.6199644066219,15.0,21.0,21.0
7,1515.305182667222,16.0,21.0,22.0
8,1448.1503409485053,15.0,22.0,21.0
9,1696.0713334797185,17.0,21.0,25.0
10,1614.8118612793053,17.0,25.0,25.0
11,1525.3051378273437,16.0,24.0,26.0
12,1692.9955607362156,17.0,22.0,25.0
13,1674.8561553739,17.0,25.0,26.0
14,1456.6363329869246,15.0,24.0,26.0
15,1666.0324906554092,17.0,21.0,23.0
16,1652.5973900924048,17.0,24.0,25.0
17,1492.0263459217074,15.0,24.0,25.0
18,1506.3567550954017,16.0,22.0,24.0
19,1353.0435745719897,14.0,22.0,23.0
20,1254.5355272885788,13.0,20.0,21.0
21,1320.1984332190962,14.0,18.0,20.0
22,1381.7978998463093,14.0,19.0,19.0
23,1191.922030357186,12.0,20.0,20.0
24,1118.9043585990385,12.0,18.0,19.0
25,1039.9966529485225,11.0,16.0,17.0
26,956.4699810802406,10.0,15.0,15.0
27,924.9417775068046,10.0,14.0,14.0
28,642.1481712739262,7.0,14.0,13.0
29,703.2744420190982,8.0,10.0,11.0
30,575.8756322665977,6.0,11.0,11.0
31,591.6112931309198,6.0,9.0,9.0
32,774.1461719183462,8.0,9.0,9.0
33,542.7180088508447,6.0,12.0,10.0
34,392.0087377657086,4.0,8.0,8.0
35,465.4074350804968,5.0,6.0,8.0
36,447.66225495230066,5.0,7.0,7.0
37,333.2146815380992,4.0,7.0,7.0
38,355.92812598231615,4.0,5.0,6.0
39,510.492580518256,6.0,6.0,6.0
40,394.09535670614196,4.0,8.0,7.0
41,473.31303077036284,5.0,6.0,7.0
42,496.1815236948057,5.0,7.0,7.0
43,572.0475849971331,6.0,8.0,8.0
44,477.1351270067039,5.0,9.0,9.0
45,777.2505840877728,8.0,7.0,8.0
46,768.7780166346747,8.0,12.0,12.0
47,885.026868171353,9.0,11.0,12.0
48,917.7340864105267,10.0,13.0,14.0
49,1115.6600040348883,12.0,14.0,15.0
50,1780.3357426721057,18.0,16.0,17.0
51,1906.2918228081635,20.0,26.0,28.0
52,1978.0784977666422,20.0,28.0,29.0
53,2157.533788668551,22.0,29.0,32.0
54,2011.154573100594,21.0,31.0,34.0
55,1329.0199221106209,14.0,29.0,24.0
56,1502.2509864471267,16.0,19.0,20.0
57,1331.676803388464,14.0,22.0,22.0
58,1477.9361925280177,15.0,20.0,21.0
59,1450.9329607631832,15.0,22.0,24.0
60,1316.7952156188962,14.0,21.0,22.0
61,1627.176439785068,17.0,19.0,20.0
62,1521.459903843709,16.0,24.0,22.0
63,1629.3001528720538,17.0,22.0,22.0
64,1610.1762054927756,17.0,24.0,23.0
65,1593.4176116399735,16.0,24.0,25.0
66,1616.2254090303245,17.0,23.0,25.0
67,1426.661909741611,15.0,24.0,25.0
68,1462.9907097138419,15.0,21.0,23.0
69,1504.1235475481972,16.0,21.0,22.0
70,1258.3292589942776,13.0,22.0,23.0
71,1088.8294820831395,11.0,18.0,20.0
72,1278.1884451548813,13.0,16.0,17.0
73,1054.5446375950569,11.0,19.0,18.0
74,1183.682030104096,12.0,16.0,16.0
75,944.0954502158718,10.0,17.0,17.0
76,826.9716678459158,9.0,14.0,14.0
77,956.963530388123,10.0,12.0,13.0
78,968.9699566560504,10.0,14.0,13.0
79,783.9914829365696,8.0,14.0,13.0
80,734.1825725412076,8.0,12.0,12.0
81,540.4020081117965,6.0,11.0,12.0
82,567.534773743462,6.0,8.0,9.0
83,566.9342788721077,6.0,9.0,9.0
84,257.01554629058785,3.0,9.0,8.0
85,424.3024779228792,5.0,4.0,7.0
86,560.8605691595719,6.0,7.0,7.0
87,191.14865885053703,2.0,9.0,7.0
88,439.47307272998864,5.0,3.0,5.0
89,418.3967851995458,5.0,7.0,7.0
90,408.12876593469605,5.0,6.0,7.0
91,285.7493146867993,3.0,6.0,7.0
92,358.3894287129557,4.0,5.0,5.0
93,720.8105758853294,8.0,6.0,6.0
94,534.9758487046605,6.0,11.0,11.0
95,435.90320000149813,5.0,8.0,8.0
96,596.8537658976709,6.0,7.0,8.0
97,599.9487702360283,6.0,9.0,10.0
98,948.1820297618763,10.0,9.0,6.0
99,918.8455961310526,10.0,14.0,15.0
100,1005.9102705707833,11.0,14.0,14.0
101,1027.9309135200228,11.0,15.0,17.0
102,1310.2791376900116,14.0,15.0,17.0
103,1315.424731701531,14.0,19.0,19.0
104,1209.8350279369406,13.0,19.0,21.0
105,1313.6377255276343,14.0,18.0,21.0
106,1535.7972515096635,16.0,19.0,21.0
107,1333.8633374099816,14.0,22.0,24.0
108,1210.5433015703443,13.0,20.0,22.0
109,1485.2376775330122,15.0,18.0,21.0
110,1674.5306501389693,17.0,22.0,22.0
111,1609.0759541274274,17.0,24.0,26.0
112,1625.442570138798,17.0,23.0,26.0
113,1496.6150269627253,15.0,24.0,26.0
