SLA Violations,Over-provisioning %,Scaling Events,Pod Count Volatility (std),Model,Seed
19,41.18,412,3.1115,Reactive HPA,42
10,44.18,381,2.4759,Aggressive PAKS (baseline),42
19,44.86,161,1.8458,Stability-Aware PAKS (improved),42
16,40.95,412,3.1531,Reactive HPA,43
11,45.64,392,2.6344,Aggressive PAKS (baseline),43
18,46.07,160,1.8057,Stability-Aware PAKS (improved),43
22,40.68,401,3.1349,Reactive HPA,44
12,43.15,396,2.7108,Aggressive PAKS (baseline),44
15,44.19,170,1.8517,Stability-Aware PAKS (improved),44
23,40.97,408,3.6172,Reactive HPA,45
14,47.56,377,3.2606,Aggressive PAKS (baseline),45
16,48.33,172,2.1798,Stability-Aware PAKS (improved),45
20,40.81,404,3.5591,Reactive HPA,46
8,48.48,376,3.2408,Aggressive PAKS (baseline),46
22,49.16,166,2.0873,Stability-Aware PAKS (improved),46
