cell_id,qos,disconnect_s,rate_mode,n_runs,n_published,n_lost,n_duplicate_ids,loss_rate,duplicate_id_rate,latency_mean_ms,latency_p95_ms,latency_p99_ms,reconnect_time_ms_mean,backlog_queued_sum,backlog_survived_sum,usd_est_sum,backend
qos0_d0_bursty,0,0,bursty,2,400,0,0,0.0,0.0,24.6775,32.0,32.0,0.0,0,0,0.0022253334333333335,mock
qos0_d0_steady,0,0,steady,2,400,0,0,0.0,0.0,24.48,32.0,32.0,0.0,0,0,0.0022253334333333335,mock
qos0_d15_bursty,0,15,bursty,2,400,70,0,0.175,0.0,25.033333333333335,32.0,32.0,100.9,0,0,0.0018368334158333332,mock
qos0_d15_steady,0,15,steady,2,400,30,0,0.075,0.0,24.667567567567566,32.0,32.0,101.4,0,0,0.0020588334258333334,mock
qos0_d300_bursty,0,300,bursty,2,400,270,0,0.675,0.0,24.484615384615385,32.0,32.0,95.19999999999999,0,0,0.0007268333658333333,mock
qos0_d300_steady,0,300,steady,2,400,270,0,0.675,0.0,24.376923076923077,31.0,32.0,99.80000000000001,0,0,0.0007268333658333333,mock
qos0_d60_bursty,0,60,bursty,2,400,170,0,0.425,0.0,24.63478260869565,32.0,32.0,100.69999999999999,0,0,0.0012818333908333334,mock
qos0_d60_steady,0,60,steady,2,400,120,0,0.3,0.0,24.317857142857143,32.0,32.0,97.6,0,0,0.001559333403333333,mock
qos1_d0_bursty,1,0,bursty,2,400,0,0,0.0,0.0,156.5175,32.0,32.0,0.0,0,0,0.0030253334333333335,mock
qos1_d0_steady,1,0,steady,2,400,0,0,0.0,0.0,650.2975,32.0,32.0,0.0,0,0,0.0030253334333333335,mock
qos1_d15_bursty,1,15,bursty,2,400,0,6,0.0,0.015,2849.1025,14902.599999999999,15165.0,100.80000000000001,76,76,0.002894633434833333,mock
qos1_d15_steady,1,15,steady,2,400,0,4,0.0,0.01,786.93,5487.049999999776,15164.11,101.69999999999999,34,34,0.0029715334343333333,mock
qos1_d300_bursty,1,300,bursty,2,400,0,3,0.0,0.0075,165015.7625,299736.5,300166.02,102.7,273,273,0.0024899834340833334,mock
qos1_d300_steady,1,300,steady,2,400,0,7,0.0,0.0175,158951.56,290484.6999999998,300165.08,97.0,277,277,0.0024961834350833334,mock
qos1_d60_bursty,1,60,bursty,2,400,0,3,0.0,0.0075,13493.695,59907.1,60175.03,101.0,174,174,0.0026899834340833335,mock
qos1_d60_steady,1,60,steady,2,400,0,8,0.0,0.02,9856.4675,50477.04999999978,60165.01,99.4,128,128,0.0027977334353333333,mock
