run_id,backend,measurement_kind,qos,disconnect_s,rate_mode,replication,cell_id,config_id,n_devices,n_messages_per_device,seed,n_published,n_lost,n_delivered_unique,n_duplicate_ids,n_delivery_copies,loss_rate,duplicate_id_rate,extra_copy_rate,latency_mean_ms,latency_p95_ms,latency_p99_ms,reconnect_time_ms,backlog_queued,backlog_survived,rule_trigger_success_rate,usd_est,usd_raw,iot_messages_counted
mock-qos0_d0_steady_r1-s42,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,0,steady,1,qos0_d0_steady,qos0_d0_steady_r1,5,40,42,200,0,200,0,200,0.0,0.0,0.0,24.155,32.0,32.0,0.0,0,0,1.0,0.0011126667166666668,0.0005563333583333334,200.0
mock-qos0_d0_steady_r2-s1042,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,0,steady,2,qos0_d0_steady,qos0_d0_steady_r2,5,40,1042,200,0,200,0,200,0.0,0.0,0.0,24.805,32.0,32.0,0.0,0,0,1.0,0.0011126667166666668,0.0005563333583333334,200.0
mock-qos0_d0_bursty_r1-s49,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,0,bursty,1,qos0_d0_bursty,qos0_d0_bursty_r1,5,40,49,200,0,200,0,200,0.0,0.0,0.0,24.58,31.049999999999983,32.0,0.0,0,0,1.0,0.0011126667166666668,0.0005563333583333334,200.0
mock-qos0_d0_bursty_r2-s1049,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,0,bursty,2,qos0_d0_bursty,qos0_d0_bursty_r2,5,40,1049,200,0,200,0,200,0.0,0.0,0.0,24.775,32.0,32.0,0.0,0,0,1.0,0.0011126667166666668,0.0005563333583333334,200.0
mock-qos0_d15_steady_r1-s57,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,15,steady,1,qos0_d15_steady,qos0_d15_steady_r1,5,40,57,200,15,185,0,185,0.075,0.0,0.0,25.054054054054053,32.0,32.0,96.6,0,0,1.0,0.0010294167129166667,0.0005147083564583333,185.0
mock-qos0_d15_steady_r2-s1057,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,15,steady,2,qos0_d15_steady,qos0_d15_steady_r2,5,40,1057,200,15,185,0,185,0.075,0.0,0.0,24.28108108108108,31.0,32.0,106.2,0,0,1.0,0.0010294167129166667,0.0005147083564583333,185.0
mock-qos0_d15_bursty_r1-s64,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,15,bursty,1,qos0_d15_bursty,qos0_d15_bursty_r1,5,40,64,200,35,165,0,165,0.175,0.0,0.0,25.03030303030303,31.799999999999983,32.0,103.0,0,0,1.0,0.0009184167079166666,0.0004592083539583333,165.0
mock-qos0_d15_bursty_r2-s1064,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,15,bursty,2,qos0_d15_bursty,qos0_d15_bursty_r2,5,40,1064,200,35,165,0,165,0.175,0.0,0.0,25.036363636363635,32.0,32.0,98.8,0,0,1.0,0.0009184167079166666,0.0004592083539583333,165.0
mock-qos0_d60_steady_r1-s102,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,60,steady,1,qos0_d60_steady,qos0_d60_steady_r1,5,40,102,200,60,140,0,140,0.3,0.0,0.0,24.40714285714286,32.0,32.0,96.0,0,0,1.0,0.0007796667016666665,0.00038983335083333327,140.0
mock-qos0_d60_steady_r2-s1102,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,60,steady,2,qos0_d60_steady,qos0_d60_steady_r2,5,40,1102,200,60,140,0,140,0.3,0.0,0.0,24.228571428571428,32.0,32.0,99.2,0,0,1.0,0.0007796667016666665,0.00038983335083333327,140.0
mock-qos0_d60_bursty_r1-s109,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,60,bursty,1,qos0_d60_bursty,qos0_d60_bursty_r1,5,40,109,200,85,115,0,115,0.425,0.0,0.0,24.304347826086957,32.0,32.0,96.6,0,0,1.0,0.0006409166954166667,0.00032045834770833334,115.0
mock-qos0_d60_bursty_r2-s1109,mock,mock broker + in-memory DynamoDB — not an AWS measurement,0,60,bursty,2,qos0_d60_bursty,qos0_d60_bursty_r2,5,40,1109,200,85,115,0,115,0.425,0.0,0.0,24.965217391304346,32.0,32.0,104.8,0,0,1.0,0.0006409166954166667,0.00032045834770833334,115.0
