t_sent,kind,status,latency_ms,trace_id,error
1790017744.103,create,504,3613.31,Root=1-6ab180d0-70f11843798b7d2806df0d1b;Parent=1044eb25e2bfd8be;Sampled=0;Lineage=1:3cc2d273:0,
1790017745.103,create,504,3450.0,Root=1-6ab180d1-7e41538f35c0d09a7809b095;Parent=1b68df5ac706c58c;Sampled=0;Lineage=1:3cc2d273:0,
1790017746.103,create,504,3253.21,Root=1-6ab180d2-7a37f2ed247548d9723079e9;Parent=04316816a09af716;Sampled=0;Lineage=1:3cc2d273:0,
1790017748.103,create,504,1745.08,Root=1-6ab180d4-352d5e0f2e5eff851ad7503d;Parent=1dbdd4de86d3e33a;Sampled=0;Lineage=1:3cc2d273:0,
1790017747.103,create,504,3427.94,Root=1-6ab180d3-54bfc9e40b853ce06c4771a8;Parent=6866de83bb8a731b;Sampled=0;Lineage=1:3cc2d273:0,
1790017749.103,create,504,1726.33,Root=1-6ab180d5-100094824e774b9541d9dd61;Parent=59502b9ba3769396;Sampled=0;Lineage=1:3cc2d273:0,
1790017750.103,create,201,961.52,Root=1-6ab180d6-7d98a40a794ed0eb77aebf1e;Parent=715129b91ba0a650;Sampled=0;Lineage=1:3cc2d273:0,
1790017751.103,get,200,520.42,Root=1-6ab180d7-2dff2c6c2006475529ace765;Parent=105e2e9b09157ecf;Sampled=0;Lineage=1:3cc2d273:0,
1790017752.103,create,201,927.61,Root=1-6ab180d8-59eba00d542d1b7f4c0f04d8;Parent=7e7715bd68aa1c8d;Sampled=0;Lineage=1:3cc2d273:0,
1790017753.103,create,201,639.94,Root=1-6ab180d9-3067e4bf59f429aa30e80b60;Parent=723988a51c9b505e;Sampled=0;Lineage=1:3cc2d273:0,
1790017754.103,create,201,975.52,Root=1-6ab180da-6b41703843388cc110e5ce9b;Parent=269fa78e6d410158;Sampled=0;Lineage=1:3cc2d273:0,
1790017755.103,create,201,889.12,Root=1-6ab180db-3504de4a0e0dffe73f793374;Parent=3c19bd50e4856f9c;Sampled=0;Lineage=1:3cc2d273:0,
1790017756.103,create,201,1038.24,Root=1-6ab180dc-5a2ada220354db1c52d13628;Parent=18900ea5f3d3957a;Sampled=0;Lineage=1:3cc2d273:0,
1790017757.103,create,201,929.08,Root=1-6ab180dd-540f16ea58a3d1f052edb402;Parent=6a803ca1405c50c7;Sampled=0;Lineage=1:3cc2d273:0,
1790017758.103,create,201,654.81,Root=1-6ab180de-1378b43f7553cf757881eaf7;Parent=377533fa28932b8d;Sampled=0;Lineage=1:3cc2d273:0,
1790017759.103,create,201,855.43,Root=1-6ab180df-6cfd517540867e86787480bd;Parent=41dd61917414ae3f;Sampled=0;Lineage=1:3cc2d273:0,
1790017760.103,create,201,861.71,Root=1-6ab180e0-1d110ec810ea3c6749c1f487;Parent=4424141fe91b2174;Sampled=0;Lineage=1:3cc2d273:0,
1790017761.103,create,201,884.1,Root=1-6ab180e1-34df14ed6055b3a033681716;Parent=54cdd1c86dacf1b4;Sampled=0;Lineage=1:3cc2d273:0,
1790017762.103,cancel,200,348.41,Root=1-6ab180e2-0562a7dc4e8eb74c2a5fafe4;Parent=41aa8bdcb51b9ae5;Sampled=0;Lineage=1:3cc2d273:0,
1790017763.103,create,201,981.43,Root=1-6ab180e3-649d496d02f91147088739ae;Parent=23c946a00eef4488;Sampled=0;Lineage=1:3cc2d273:0,
1790017764.103,get,200,500.26,Root=1-6ab180e4-0530d2f66a2c0fe51195cf5b;Parent=2afc7c6503698d40;Sampled=0;Lineage=1:3cc2d273:0,
1790017765.103,create,201,915.86,Root=1-6ab180e5-19a973d101485fd13f490a6a;Parent=53e9afdf1bb0cc78;Sampled=0;Lineage=1:3cc2d273:0,
1790017766.103,create,201,642.27,Root=1-6ab180e6-41dd38c82191718d5c9d81f2;Parent=518ea456de9518f9;Sampled=0;Lineage=1:3cc2d273:0,
1790017767.103,create,201,665.59,Root=1-6ab180e7-18c13893048d91af7504c8f2;Parent=045e7099fd221399;Sampled=0;Lineage=1:3cc2d273:0,
1790017768.103,create,201,896.98,Root=1-6ab180e8-371e9cef6d64fd2070f6e267;Parent=5bdd01cf9bd7795d;Sampled=0;Lineage=1:3cc2d273:0,
1790017769.103,create,201,927.21,Root=1-6ab180e9-6059eb995abe43720b2447e5;Parent=4648175dae6231b5;Sampled=0;Lineage=1:3cc2d273:0,
1790017770.103,get,200,491.94,Root=1-6ab180ea-6297516864d12a68437a17a1;Parent=5706320cd6f12351;Sampled=0;Lineage=1:3cc2d273:0,
1790017771.103,create,201,868.59,Root=1-6ab180eb-292e383272398762058bff61;Parent=0070552c45c9e53e;Sampled=0;Lineage=1:3cc2d273:0,
1790017772.103,create,201,866.87,Root=1-6ab180ec-3e3f1d7108566c6e5523f6b0;Parent=70693b5e111e5993;Sampled=0;Lineage=1:3cc2d273:0,
1790017773.103,create,201,953.72,Root=1-6ab180ed-72948a3434281c0551a4713d;Parent=61ddf6a2ead76608;Sampled=0;Lineage=1:3cc2d273:0,
1790017774.103,create,201,633.13,Root=1-6ab180ee-045bd9751b23a6d3463bc332;Parent=775ca91e84f59b32;Sampled=0;Lineage=1:3cc2d273:0,
1790017775.103,get,200,235.25,Root=1-6ab180ef-3777956e7701ec633c571cba;Parent=65e77f3f4d7bd2b9;Sampled=0;Lineage=1:3cc2d273:0,
1790017776.103,create,201,885.99,Root=1-6ab180f0-767020836784bf9f36289f95;Parent=3cbd17cd0ea5afe4;Sampled=0;Lineage=1:3cc2d273:0,
1790017777.103,create,201,607.09,Root=1-6ab180f1-7737460916fb39097df732ea;Parent=553f73b14f198483;Sampled=0;Lineage=1:3cc2d273:0,
1790017778.103,create,201,930.49,Root=1-6ab180f2-3794a03f2727f96720671e2c;Parent=09f5d9c6d079bc6f;Sampled=0;Lineage=1:3cc2d273:0,
1790017779.103,get,200,531.74,Root=1-6ab180f3-7f00f31f1d8954116b390895;Parent=606956f1aff63368;Sampled=0;Lineage=1:3cc2d273:0,
1790017780.103,get,200,570.14,Root=1-6ab180f4-001c7b222d8b4f1b021ba362;Parent=3aadc46f70a96d55;Sampled=0;Lineage=1:3cc2d273:0,
1790017781.103,get,200,225.07,Root=1-6ab180f5-6d3dd17b4483e8ad3a7595c8;Parent=40101a7357f4b913;Sampled=0;Lineage=1:3cc2d273:0,
1790017782.103,create,201,843.5,Root=1-6ab180f6-617350fb29f94d2f022c75ad;Parent=419a839cdefe8fdd;Sampled=0;Lineage=1:3cc2d273:0,
1790017783.103,create,201,955.6,Root=1-6ab180f7-43b3fc89708f06c1743907ee;Parent=7c431425123846d1;Sampled=0;Lineage=1:3cc2d273:0,
1790017784.103,create,201,972.32,Root=1-6ab180f8-399db2aa590b193648f01270;Parent=16ceb61b8ffbc2bf;Sampled=0;Lineage=1:3cc2d273:0,
1790017785.103,create,201,902.94,Root=1-6ab180f9-456937834f996e1567d37e1e;Parent=3cbb5555941c2782;Sampled=0;Lineage=1:3cc2d273:0,
1790017786.103,create,201,960.07,Root=1-6ab180fa-56d7eab4318ce3bb2ef56d79;Parent=60e840c1ea82f2f0;Sampled=0;Lineage=1:3cc2d273:0,
1790017787.103,create,201,943.25,Root=1-6ab180fb-26327a5253ec82902d46c1e9;Parent=1539add1de17b9fe;Sampled=0;Lineage=1:3cc2d273:0,
1790017788.103,create,201,603.94,Root=1-6ab180fc-264592823aa5a35f4a07993c;Parent=6ef2f8785a01af77;Sampled=0;Lineage=1:3cc2d273:0,
