t_sent,kind,status,latency_ms,trace_id,error
1789911234.147,create,201,1028.26,Root=1-6aafe0c2-5d9a63a85dc0c998446b20bf;Parent=5c855cbb9b01df01;Sampled=0;Lineage=1:3cc2d273:0,
1789911235.147,create,201,947.71,Root=1-6aafe0c3-60e33510121e12f9098d0518;Parent=4ce736859ed8d3ce;Sampled=0;Lineage=1:3cc2d273:0,
1789911236.147,create,201,900.28,Root=1-6aafe0c4-4b72b3790a19a89266563280;Parent=6d6baeb944229c2c;Sampled=0;Lineage=1:3cc2d273:0,
1789911237.147,create,201,970.12,Root=1-6aafe0c5-0a25740032d0cfcd2b369edd;Parent=2a340100f0287d9a;Sampled=0;Lineage=1:3cc2d273:0,
1789911238.147,create,201,911.9,Root=1-6aafe0c6-6f5e00f84fdc48a2211bc543;Parent=79496e998de066cb;Sampled=0;Lineage=1:3cc2d273:0,
1789911239.147,create,201,949.21,Root=1-6aafe0c7-796c84894ad6e84f3a96670d;Parent=183e79c53821a57d;Sampled=0;Lineage=1:3cc2d273:0,
1789911240.147,create,201,1012.35,Root=1-6aafe0c8-594527cc10467ed429ed6774;Parent=411abb500cf3dbc6;Sampled=0;Lineage=1:3cc2d273:0,
1789911241.147,get,200,618.57,Root=1-6aafe0c9-36df4de978a42bd9153d4594;Parent=13132df10320d106;Sampled=0;Lineage=1:3cc2d273:0,
1789911242.147,create,201,674.71,Root=1-6aafe0ca-60b7df213bd869935994287c;Parent=39a1985819914875;Sampled=0;Lineage=1:3cc2d273:0,
1789911243.147,create,201,932.91,Root=1-6aafe0cb-6a62b8701cf729db79bc3049;Parent=4b8dc818885fa21e;Sampled=0;Lineage=1:3cc2d273:0,
1789911244.147,create,201,943.31,Root=1-6aafe0cc-6f590d065d76b637741ff5e9;Parent=2d8d3330e6337dd9;Sampled=0;Lineage=1:3cc2d273:0,
1789911245.147,create,201,919.15,Root=1-6aafe0cd-5cdac1520cc34c4a63b5d792;Parent=5ff81db42d881716;Sampled=0;Lineage=1:3cc2d273:0,
1789911246.147,create,201,915.25,Root=1-6aafe0ce-3faf4b9c162cbc7b46d6ac73;Parent=191c5b9f3b4975ce;Sampled=0;Lineage=1:3cc2d273:0,
1789911247.147,create,201,684.27,Root=1-6aafe0cf-738b5236470e002537588b36;Parent=259ac14c6c9f2e57;Sampled=0;Lineage=1:3cc2d273:0,
1789911248.147,create,201,961.0,Root=1-6aafe0d0-1918cea13c5352822e699bdd;Parent=33711a7477690540;Sampled=0;Lineage=1:3cc2d273:0,
1789911249.147,create,201,905.17,Root=1-6aafe0d1-5c2cd661421a4934100c0bb1;Parent=7799ca9393eb7e06;Sampled=0;Lineage=1:3cc2d273:0,
1789911250.147,create,201,629.81,Root=1-6aafe0d2-493bf9451e0467f6770741f2;Parent=33011154eb85f36c;Sampled=0;Lineage=1:3cc2d273:0,
1789911251.147,create,201,969.5,Root=1-6aafe0d3-084e488229c7fbe023f6fd47;Parent=7f24037f68a2d881;Sampled=0;Lineage=1:3cc2d273:0,
1789911252.147,cancel,200,686.18,Root=1-6aafe0d4-67c58647742dd67a661e6d98;Parent=29e697cc6515e648;Sampled=0;Lineage=1:3cc2d273:0,
1789911253.147,create,201,908.83,Root=1-6aafe0d5-0d6429c742335ac157de836f;Parent=30adaa481c8ea8da;Sampled=0;Lineage=1:3cc2d273:0,
1789911254.147,get,200,524.24,Root=1-6aafe0d6-6d04febf4317d8f33c6c8b1c;Parent=6da9bbd7722538d8;Sampled=0;Lineage=1:3cc2d273:0,
1789911255.147,create,201,909.03,Root=1-6aafe0d7-6b2481216b576cc7088a7d91;Parent=178540bee8fb415b;Sampled=0;Lineage=1:3cc2d273:0,
1789911256.147,create,201,905.87,Root=1-6aafe0d8-41dbf6c60e1441396ffa3b68;Parent=116b1edf36988838;Sampled=0;Lineage=1:3cc2d273:0,
1789911257.147,create,201,962.05,Root=1-6aafe0d9-482db63a4cee3c7e6efb9402;Parent=4e2ed1891ed4f1f0;Sampled=0;Lineage=1:3cc2d273:0,
1789911258.147,create,201,917.6,Root=1-6aafe0da-329bb02b57134b5055f94a17;Parent=3f9b35e07b40f830;Sampled=0;Lineage=1:3cc2d273:0,
1789911259.147,create,201,695.55,Root=1-6aafe0db-1eb717172fd876cc6b964b72;Parent=13f1784a3cb04f6d;Sampled=0;Lineage=1:3cc2d273:0,
1789911260.147,get,200,514.39,Root=1-6aafe0dc-255145055cd814262256f933;Parent=1e29c84fdcc2acf4;Sampled=0;Lineage=1:3cc2d273:0,
1789911261.147,create,201,913.05,Root=1-6aafe0dd-2752c23b3badbbbf55a60890;Parent=125bc22364be8e90;Sampled=0;Lineage=1:3cc2d273:0,
1789911262.147,create,201,688.1,Root=1-6aafe0de-0b188bc3315e5931551d3178;Parent=6c7f2b5d5ef337ed;Sampled=0;Lineage=1:3cc2d273:0,
1789911263.147,create,201,704.38,Root=1-6aafe0df-755ffbf050d6f0c0568b3af4;Parent=66a443134278ab79;Sampled=0;Lineage=1:3cc2d273:0,
1789911264.147,create,201,684.95,Root=1-6aafe0e0-7e94b1843f15a28c6b176df0;Parent=0648ccf1f0fc75e6;Sampled=0;Lineage=1:3cc2d273:0,
1789911265.147,get,200,504.86,Root=1-6aafe0e1-1d03170d20f9b95f55f5fd0c;Parent=3ff22d99245f232e;Sampled=0;Lineage=1:3cc2d273:0,
1789911266.147,create,201,891.36,Root=1-6aafe0e2-73d501c32fc0614f0403dc3e;Parent=47986382f7f9c473;Sampled=0;Lineage=1:3cc2d273:0,
1789911267.147,create,201,1211.03,Root=1-6aafe0e3-414934ce6171347a7c35fee9;Parent=19ba7430a1aa5ec1;Sampled=0;Lineage=1:3cc2d273:0,
1789911268.147,create,201,647.72,Root=1-6aafe0e4-348786567e2ff17a1ec7b285;Parent=2b6b1b82a86236ae;Sampled=0;Lineage=1:3cc2d273:0,
1789911269.147,get,200,215.37,Root=1-6aafe0e5-397bab1333099a7a37a8d84f;Parent=64ac26f18f48a09b;Sampled=0;Lineage=1:3cc2d273:0,
1789911270.147,get,200,217.45,Root=1-6aafe0e6-2c27fb901f43f66243fb6619;Parent=29850a5ddf1cbfe4;Sampled=0;Lineage=1:3cc2d273:0,
1789911271.147,get,200,507.25,Root=1-6aafe0e7-7338d36523588dff77ab73da;Parent=6216e4476795b63d;Sampled=0;Lineage=1:3cc2d273:0,
1789911272.147,create,201,957.18,Root=1-6aafe0e8-1b887dbe2a324cbf2034edc3;Parent=18ead15428698a95;Sampled=0;Lineage=1:3cc2d273:0,
1789911273.147,create,201,948.76,Root=1-6aafe0e9-7b24a5d70bedf5414552bfec;Parent=6b612f46b2755e64;Sampled=0;Lineage=1:3cc2d273:0,
1789911274.147,create,201,895.41,Root=1-6aafe0ea-30ec54bf1637f6a53c3cfc10;Parent=737ead27838b8dff;Sampled=0;Lineage=1:3cc2d273:0,
1789911275.147,create,201,630.17,Root=1-6aafe0eb-57fbf570467a4a6a3052d862;Parent=73fb111d7b37d28c;Sampled=0;Lineage=1:3cc2d273:0,
1789911276.147,create,201,898.91,Root=1-6aafe0ec-75ec5ef5581332c45f65046b;Parent=6b824951b9f95800;Sampled=0;Lineage=1:3cc2d273:0,
1789911277.147,create,201,912.39,Root=1-6aafe0ed-3c9d818d65e7221f1040c87f;Parent=38e14dd0386d375a;Sampled=0;Lineage=1:3cc2d273:0,
1789911278.147,create,201,906.97,Root=1-6aafe0ee-5054a4cc470eefa53062fd04;Parent=1dec7a66043d641f;Sampled=0;Lineage=1:3cc2d273:0,
1789911279.147,create,201,1022.15,Root=1-6aafe0ef-7832c32734d09b42609af55c;Parent=7b490d232fe69e61;Sampled=0;Lineage=1:3cc2d273:0,
1789911280.147,create,201,941.38,Root=1-6aafe0f0-15eb57910aeeb6f66b4301d0;Parent=23cb65dcb1f2b4bb;Sampled=0;Lineage=1:3cc2d273:0,
1789911281.147,create,201,660.86,Root=1-6aafe0f1-7f67833459eef35e79ce9cae;Parent=0737a0e6d59cfb45;Sampled=0;Lineage=1:3cc2d273:0,
1789911282.147,get,200,556.59,Root=1-6aafe0f2-38be29926718372176cef971;Parent=407645e122666a83;Sampled=0;Lineage=1:3cc2d273:0,
1789911283.147,create,201,776.08,Root=1-6aafe0f3-5d0c4bcf506e278325f0ec16;Parent=240bfe59076df52b;Sampled=0;Lineage=1:3cc2d273:0,
1789911284.147,create,201,992.37,Root=1-6aafe0f4-2ac859a3002b791304820c18;Parent=014a6ffd868a0bc1;Sampled=0;Lineage=1:3cc2d273:0,
1789911285.147,create,201,935.36,Root=1-6aafe0f5-4ecc5d940c6a72a37f8d3f8d;Parent=4746012d9be2bd10;Sampled=0;Lineage=1:3cc2d273:0,
1789911286.147,create,201,913.98,Root=1-6aafe0f6-545f676b74f226e255688c27;Parent=2d56e05d73ea75c5;Sampled=0;Lineage=1:3cc2d273:0,
1789911287.147,get,200,504.09,Root=1-6aafe0f7-5a4c70b11aab2bef1a3cf335;Parent=405434899c0b99fc;Sampled=0;Lineage=1:3cc2d273:0,
1789911288.147,create,201,901.19,Root=1-6aafe0f8-2e973e3618b0501144cedab0;Parent=4a4932529e29ceae;Sampled=0;Lineage=1:3cc2d273:0,
1789911289.147,create,201,933.43,Root=1-6aafe0f9-4ddafa935a46c027309c0f12;Parent=0733af508ad7696c;Sampled=0;Lineage=1:3cc2d273:0,
1789911290.147,create,201,930.86,Root=1-6aafe0fa-48ddd0e335d2767326bc5c53;Parent=497a9748c19258da;Sampled=0;Lineage=1:3cc2d273:0,
1789911291.147,get,200,511.23,Root=1-6aafe0fb-313dbd255de2cb5933cd3185;Parent=102147db7816d007;Sampled=0;Lineage=1:3cc2d273:0,
1789911292.147,create,201,996.83,Root=1-6aafe0fc-2d12124639811aed67e5b128;Parent=26aff55a9be16103;Sampled=0;Lineage=1:3cc2d273:0,
1789911293.147,create,201,657.1,Root=1-6aafe0fd-3f1096236488175f6c6ab1ee;Parent=4a796810284ca0cf;Sampled=0;Lineage=1:3cc2d273:0,
1789911294.147,get,200,267.38,Root=1-6aafe0fe-07d1eded1fb6d07d6f47834f;Parent=243140bab00db9d9;Sampled=0;Lineage=1:3cc2d273:0,
1789911295.147,create,201,1008.03,Root=1-6aafe0ff-3524c6d97f6e9a6d24d370e7;Parent=53083f23ae5f60ed;Sampled=0;Lineage=1:3cc2d273:0,
1789911296.147,create,201,946.95,Root=1-6aafe100-122476544362bb577d968fa6;Parent=61fe3a901fcb87f1;Sampled=0;Lineage=1:3cc2d273:0,
1789911297.147,create,201,928.11,Root=1-6aafe101-758d21781cb0b4bb309aa83e;Parent=4d8c6a73294d0046;Sampled=0;Lineage=1:3cc2d273:0,
1789911298.147,create,201,975.87,Root=1-6aafe102-41913399170780cd3618e915;Parent=104cbbde0076b666;Sampled=0;Lineage=1:3cc2d273:0,
1789911299.147,create,201,888.04,Root=1-6aafe103-0ae4c61b61223f4915fc3ffc;Parent=7ff0a5cd50f22ed6;Sampled=0;Lineage=1:3cc2d273:0,
1789911300.147,create,201,650.91,Root=1-6aafe104-6917619f4cc46eb03313dde0;Parent=2d58153e81cde8a0;Sampled=0;Lineage=1:3cc2d273:0,
1789911301.147,create,201,983.8,Root=1-6aafe105-4e2bdcc12a526e013a40127c;Parent=7eac4560b08858c8;Sampled=0;Lineage=1:3cc2d273:0,
1789911302.147,create,201,961.58,Root=1-6aafe106-4a33cde016605e077e2d7f3d;Parent=5c704b973cd3f5bf;Sampled=0;Lineage=1:3cc2d273:0,
1789911303.147,create,201,895.59,Root=1-6aafe107-61ac76f53a2556c35fbc1308;Parent=425e405978b894bf;Sampled=0;Lineage=1:3cc2d273:0,
1789911304.147,create,201,951.43,Root=1-6aafe108-12e43d5b6e5c9f26386629d8;Parent=22a8115c4a8e7a62;Sampled=0;Lineage=1:3cc2d273:0,
1789911305.147,get,200,270.83,Root=1-6aafe109-378286d51822f26b4c86b955;Parent=37ca0698637b6696;Sampled=0;Lineage=1:3cc2d273:0,
1789911306.147,create,201,993.21,Root=1-6aafe10a-07049db138a182253ea0b55d;Parent=672bc6fa59378ae6;Sampled=0;Lineage=1:3cc2d273:0,
1789911307.147,create,201,939.33,Root=1-6aafe10b-7922959c115f6cd26d7bff28;Parent=3b4c9148c27fc8cc;Sampled=0;Lineage=1:3cc2d273:0,
1789911308.147,create,201,879.58,Root=1-6aafe10c-794d285730e4d6f7426cae30;Parent=3f875812d3b2451f;Sampled=0;Lineage=1:3cc2d273:0,
1789911309.147,create,201,979.33,Root=1-6aafe10d-3671cd341eb5f1791811e98e;Parent=6aa88c153abf555e;Sampled=0;Lineage=1:3cc2d273:0,
1789911310.147,create,201,870.86,Root=1-6aafe10e-4835a7d61242c15b5e4234bc;Parent=5583f2855ee6aee5;Sampled=0;Lineage=1:3cc2d273:0,
1789911311.147,create,201,908.75,Root=1-6aafe10f-5667c63d14c1f47572188c62;Parent=76ff76c1e8c995bb;Sampled=0;Lineage=1:3cc2d273:0,
1789911312.147,create,201,669.57,Root=1-6aafe110-29ff809d0fd26af9334567f1;Parent=6e6a8b793e7c92c0;Sampled=0;Lineage=1:3cc2d273:0,
1789911313.147,get,200,212.63,Root=1-6aafe111-5ed56b8370adcd75714171a4;Parent=4714dd97750e419e;Sampled=0;Lineage=1:3cc2d273:0,
1789911314.147,create,201,1019.27,Root=1-6aafe112-2f5827056929d6bf5d735900;Parent=51bc8c0c95f98595;Sampled=0;Lineage=1:3cc2d273:0,
1789911315.147,create,201,884.68,Root=1-6aafe113-6b1573f27beff3f65a96826d;Parent=0f47c8734028451a;Sampled=0;Lineage=1:3cc2d273:0,
1789911316.147,create,201,1022.94,Root=1-6aafe114-4edb7b8132c1252703b74657;Parent=616f5659e2c79d95;Sampled=0;Lineage=1:3cc2d273:0,
1789911317.147,create,201,988.15,Root=1-6aafe115-6bfc69ea4b381ff0669acd9c;Parent=7b5615c0876b0b4e;Sampled=0;Lineage=1:3cc2d273:0,
1789911318.147,get,200,508.33,Root=1-6aafe116-3dd16164037b26a25bfb7b0b;Parent=52cee056aa423fdc;Sampled=0;Lineage=1:3cc2d273:0,
1789911319.147,create,201,928.41,Root=1-6aafe117-33f7d4a20e8cf5a70937549c;Parent=17a62bae4b85fb92;Sampled=0;Lineage=1:3cc2d273:0,
1789911320.147,get,200,259.51,Root=1-6aafe118-32491a422d45cbc16a894675;Parent=651cb34f2062b0f7;Sampled=0;Lineage=1:3cc2d273:0,
1789911321.147,create,201,865.21,Root=1-6aafe119-1f6d0a742aa88a0f2caca3ca;Parent=0323e231147b5b12;Sampled=0;Lineage=1:3cc2d273:0,
1789911322.147,create,201,933.48,Root=1-6aafe11a-1a3efbf8495abb3c389094b6;Parent=5d1a76e87291f4a7;Sampled=0;Lineage=1:3cc2d273:0,
1789911323.147,create,201,931.39,Root=1-6aafe11b-598cbabe1cbcf77215f38ffe;Parent=035b7caa7a2769b4;Sampled=0;Lineage=1:3cc2d273:0,
1789911324.147,create,201,981.47,Root=1-6aafe11c-45bb43ec4781b5ce77429f55;Parent=1482ae16b71556d2;Sampled=0;Lineage=1:3cc2d273:0,
1789911325.147,create,201,883.85,Root=1-6aafe11d-01c3a49879e47f56407d66dd;Parent=52a6c58190a59a56;Sampled=0;Lineage=1:3cc2d273:0,
1789911326.147,create,201,936.46,Root=1-6aafe11e-6f0909395d5b1a804c040d42;Parent=2dfa7b94ad063cf0;Sampled=0;Lineage=1:3cc2d273:0,
1789911327.147,create,201,944.64,Root=1-6aafe11f-44ca67ad2e89a76a586c8b2d;Parent=256375757c4bb59d;Sampled=0;Lineage=1:3cc2d273:0,
1789911328.147,create,201,888.25,Root=1-6aafe120-420958452fb059ab509d8b8d;Parent=0a6267e995cb3a01;Sampled=0;Lineage=1:3cc2d273:0,
1789911329.147,create,201,885.24,Root=1-6aafe121-3686e26c5641edec1e28e58f;Parent=4bdd5ef486f21e96;Sampled=0;Lineage=1:3cc2d273:0,
1789911330.147,create,201,931.83,Root=1-6aafe122-542b8a485d20463864c9e92c;Parent=325e37db323de8ca;Sampled=0;Lineage=1:3cc2d273:0,
1789911331.147,create,201,907.86,Root=1-6aafe123-517c93c3205640523d6a3f7a;Parent=4d2a0c74f66cdaba;Sampled=0;Lineage=1:3cc2d273:0,
1789911332.147,create,201,925.78,Root=1-6aafe124-3cf85ccb39ee064d502085f8;Parent=69fe1c26e058462f;Sampled=0;Lineage=1:3cc2d273:0,
1789911333.147,get,200,486.18,Root=1-6aafe125-13ef536c08c9b6bd6eeae27d;Parent=7f56ab1e71c27ce3;Sampled=0;Lineage=1:3cc2d273:0,
1789911334.147,create,201,942.94,Root=1-6aafe126-4bdb3fcb16fe59a377eabcff;Parent=4c48428c6d4ad48a;Sampled=0;Lineage=1:3cc2d273:0,
1789911335.147,create,201,912.72,Root=1-6aafe127-6a608a882eda933c4670e776;Parent=798c43996fb25fb3;Sampled=0;Lineage=1:3cc2d273:0,
1789911336.147,create,201,608.35,Root=1-6aafe128-1bec333a569e1cdf305d1887;Parent=64eb5e79f32a1462;Sampled=0;Lineage=1:3cc2d273:0,
1789911337.147,create,201,992.67,Root=1-6aafe129-6128578676f1da3325206a42;Parent=469d2ab00ec9a9fd;Sampled=0;Lineage=1:3cc2d273:0,
1789911338.147,create,201,946.49,Root=1-6aafe12a-5953ee0c147059bb496c6f8c;Parent=793c054c5e693c08;Sampled=0;Lineage=1:3cc2d273:0,
1789911339.147,create,201,947.97,Root=1-6aafe12b-1a0b247957acdb3311806d40;Parent=0ce132038991638c;Sampled=0;Lineage=1:3cc2d273:0,
1789911340.147,create,201,924.37,Root=1-6aafe12c-0a27e0a113bff8e17032d477;Parent=55f0ed5feddf5080;Sampled=0;Lineage=1:3cc2d273:0,
1789911341.147,create,201,625.59,Root=1-6aafe12d-2fe8799b7691159968f63674;Parent=5f6cac83069df771;Sampled=0;Lineage=1:3cc2d273:0,
1789911342.147,create,201,944.29,Root=1-6aafe12e-558122ae41508b1e6b9b49b0;Parent=0c02c8d9f6d7ccce;Sampled=0;Lineage=1:3cc2d273:0,
1789911343.147,create,201,909.97,Root=1-6aafe12f-7a50560341ec15a20d7ad213;Parent=3a077fd23b87d57a;Sampled=0;Lineage=1:3cc2d273:0,
1789911344.147,create,201,928.74,Root=1-6aafe130-77417f2b4b1b9495065e2373;Parent=7a254710e88a2e80;Sampled=0;Lineage=1:3cc2d273:0,
1789911345.147,create,201,950.2,Root=1-6aafe131-5076d98e65ad3ef9299c6da7;Parent=4105fdd659b23725;Sampled=0;Lineage=1:3cc2d273:0,
1789911346.147,create,201,888.91,Root=1-6aafe132-0c872d3322c773e2400b0ee4;Parent=53599709b5bb9028;Sampled=0;Lineage=1:3cc2d273:0,
1789911347.147,create,201,932.12,Root=1-6aafe133-63da6292170b438951235488;Parent=27d417c55e28cac6;Sampled=0;Lineage=1:3cc2d273:0,
1789911348.147,create,201,949.61,Root=1-6aafe134-57ff176452170447602313d6;Parent=758ec28507affd4b;Sampled=0;Lineage=1:3cc2d273:0,
1789911349.147,create,201,1253.92,Root=1-6aafe135-2b94dc4e12412dc02ca230f7;Parent=426282bf5304d02d;Sampled=0;Lineage=1:3cc2d273:0,
1789911350.147,get,200,473.57,Root=1-6aafe136-0ce1b8fc118d9b524b73506a;Parent=6a9d26c7d22a933b;Sampled=0;Lineage=1:3cc2d273:0,
1789911351.147,create,201,957.63,Root=1-6aafe137-1b262f1e0842b5bb1a69ca53;Parent=17d7bea0a486de26;Sampled=0;Lineage=1:3cc2d273:0,
1789911352.147,create,201,1023.01,Root=1-6aafe138-24d47c3c6ea679b55c85b58b;Parent=531d47b8d3a80b00;Sampled=0;Lineage=1:3cc2d273:0,
1789911353.147,create,201,958.99,Root=1-6aafe139-0bde096545d4ad1701c8fbff;Parent=51dd373ed2ddd6f2;Sampled=0;Lineage=1:3cc2d273:0,
1789911354.147,create,201,923.75,Root=1-6aafe13a-3d25fdd058335edb2a0aba0c;Parent=516eb47655ca9c84;Sampled=0;Lineage=1:3cc2d273:0,
1789911355.147,cancel,200,620.17,Root=1-6aafe13b-39c54dfa7eb0d4f13cd9a241;Parent=0cd9acf70c8f5920;Sampled=0;Lineage=1:3cc2d273:0,
1789911356.147,create,201,721.77,Root=1-6aafe13c-30b5908f1eee76292ea58092;Parent=37f2fd032fe89730;Sampled=0;Lineage=1:3cc2d273:0,
1789911357.147,create,201,1010.34,Root=1-6aafe13d-6fe6e1db630684d134cd0bb8;Parent=4f520b5db2b36f00;Sampled=0;Lineage=1:3cc2d273:0,
1789911358.147,cancel,200,662.26,Root=1-6aafe13e-0ab12ac0731f0af811d2e50f;Parent=76a8bfd239a2175f;Sampled=0;Lineage=1:3cc2d273:0,
1789911359.147,cancel,200,1012.76,Root=1-6aafe13f-1a67e4da2d890df5409ad251;Parent=4d28f9c3f0fed221;Sampled=0;Lineage=1:3cc2d273:0,
1789911360.147,create,201,985.51,Root=1-6aafe140-12574a376c7d4b0327e97391;Parent=10c5e241e8b6aa54;Sampled=0;Lineage=1:3cc2d273:0,
1789911361.147,create,201,899.82,Root=1-6aafe141-228baabf2ca5ada1569a8c41;Parent=4d8381994c35bd46;Sampled=0;Lineage=1:3cc2d273:0,
1789911362.147,create,201,949.72,Root=1-6aafe142-01fc6c764623a234353bae45;Parent=7745162da355a3f3;Sampled=0;Lineage=1:3cc2d273:0,
1789911363.147,get,200,251.9,Root=1-6aafe143-3551e112333c2df6171fb3b5;Parent=22bd4fe9b232aa9c;Sampled=0;Lineage=1:3cc2d273:0,
1789911364.147,create,201,961.98,Root=1-6aafe144-40ac17286b1d81a7082d4f8f;Parent=5bcc977304793c65;Sampled=0;Lineage=1:3cc2d273:0,
