t_sent,kind,status,latency_ms,trace_id,error
1789910675.383,create,201,939.86,Root=1-6aafde93-7f1d4cca23533be625d1bc8a,
1789910676.383,cancel,200,622.29,Root=1-6aafde94-60f6c397213b5fec1b0d14c8,
1789910677.383,create,201,847.51,Root=1-6aafde95-513cbb437c9913c12ebbfcea,
1789910678.383,create,201,596.46,Root=1-6aafde96-70b139880223d3d5185392df,
1789910679.383,create,201,892.45,Root=1-6aafde97-3d1bfc6f4ff6a9a50899e0cc,
1789910680.383,create,201,916.76,Root=1-6aafde98-2c27b2381d134fc10e3535b6,
1789910681.383,create,201,586.15,Root=1-6aafde99-22507b5f5fe94d1139808ef3,
1789910682.383,get,200,507.38,Root=1-6aafde9a-7785f3b219ffd04712a90cc9,
1789910683.383,create,201,614.83,Root=1-6aafde9b-2506ae0c6051b57411697943,
1789910684.383,create,201,926.36,Root=1-6aafde9c-0752ab0f751c62a21a544d6d,
1789910685.383,create,201,646.61,Root=1-6aafde9d-751223751705bd7d508b54fb,
1789910686.383,create,201,845.65,Root=1-6aafde9e-05f371b751077f3e098b7924,
1789910687.383,create,201,873.21,Root=1-6aafde9f-752a506f5748e1653cdf4b39,
1789910688.383,create,201,587.09,Root=1-6aafdea0-11da98ff42a97d054aa97bae,
1789910689.383,create,201,622.08,Root=1-6aafdea1-148d07eb6baada1f3487a876,
1789910690.383,create,201,875.29,Root=1-6aafdea2-08322be767e520167b23c928,
1789910691.383,create,201,587.65,Root=1-6aafdea3-13636c2f2df0cd1755c0ae13,
1789910692.383,create,201,895.98,Root=1-6aafdea4-7c788a9d16b5d9042f5cb523,
1789910693.383,cancel,200,616.95,Root=1-6aafdea5-6fe8d40e65ad51ac071e47c7,
1789910694.383,create,201,890.22,Root=1-6aafdea6-4c02e9dc3c85227c4905e90f,
1789910695.383,get,200,595.9,Root=1-6aafdea7-37afc7814a01d77d757e0daa,
1789910696.383,create,201,645.67,Root=1-6aafdea8-6716b7b7748c61af386039c4,
1789910697.383,create,201,915.38,Root=1-6aafdea9-34cdae6541d3b7136faf3ce9,
1789910698.383,create,201,838.56,Root=1-6aafdeaa-63fc0b311754981c68a49fa3,
1789910699.383,create,201,578.5,Root=1-6aafdeab-62b54b0372ab9fd81f978c99,
1789910700.383,create,201,878.12,Root=1-6aafdeac-110340452df6478f1912ed71,
1789910701.383,get,200,221.7,Root=1-6aafdead-32d95b4c52ca83d514af6e12,
1789910702.383,create,201,1261.94,Root=1-6aafdeae-1ecc38490715d63c49f45813,
1789910703.383,create,201,881.7,Root=1-6aafdeaf-62070c3f2f2d4c101b05be79,
1789910704.383,create,201,844.47,Root=1-6aafdeb0-5689c2cd54159b8f3d231840,
1789910705.383,create,201,621.0,Root=1-6aafdeb1-0ee2fe6a1075b2f62c474d5d,
1789910706.383,get,200,604.76,Root=1-6aafdeb2-3de0995e4ecbd70c163e218a,
1789910707.383,create,201,913.61,Root=1-6aafdeb3-2b6b4db67bf4b6a743b9e99f,
1789910708.383,create,201,856.4,Root=1-6aafdeb4-02564af9041564fe0c438796,
1789910709.383,create,201,852.07,Root=1-6aafdeb5-782071304a9541e837b796fb,
1789910710.383,get,200,274.52,Root=1-6aafdeb6-3088189134f7185f212cfa07,
1789910711.383,get,200,471.62,Root=1-6aafdeb7-20b332e533db57bd5b852f73,
1789910712.383,get,200,240.35,Root=1-6aafdeb8-5f26b35a7038091277721878,
1789910713.383,create,201,853.72,Root=1-6aafdeb9-64b1116859bad1e11879fb87,
1789910714.383,create,201,556.0,Root=1-6aafdeba-57659dcc4eade94e3e1a59b2,
1789910715.383,create,201,595.99,Root=1-6aafdebb-586d788a1dba966e6636f4b8,
1789910716.383,create,201,620.91,Root=1-6aafdebc-38fc57d504e1665876a301c5,
1789910717.383,create,201,946.52,Root=1-6aafdebd-40eccc8a4ec6610f650bc9b5,
1789910718.383,create,201,570.96,Root=1-6aafdebe-0f672d3601a3757d67743e7b,
1789910719.383,create,201,902.18,Root=1-6aafdebf-05f87a0a5b6dfcc76237f6a7,
1789910720.383,create,201,840.48,Root=1-6aafdec0-18292cbc2a6efb1666c34cf5,
1789910721.383,create,201,844.48,Root=1-6aafdec1-468a22f4470b2d7d7febc2e0,
1789910722.383,create,201,587.16,Root=1-6aafdec2-7cae416a3d8357a341c58d14,
1789910723.383,get,200,492.53,Root=1-6aafdec3-42b02bd4155648a553555602,
1789910724.383,create,201,955.75,Root=1-6aafdec4-206aee1350e97cf120c8d8df,
1789910725.383,create,201,868.05,Root=1-6aafdec5-191822cb3fa5247e3d3bc3e7,
1789910726.383,create,201,1063.71,Root=1-6aafdec6-0e10d1b4342ef57950a49307,
1789910727.383,create,201,683.61,Root=1-6aafdec7-0f37c64c4c7550952a4f0fcb,
1789910728.383,get,200,549.11,Root=1-6aafdec8-590fc9916cb68677115a463a,
1789910729.383,create,201,903.12,Root=1-6aafdec9-1edd140a600d0c7e511d654a,
1789910730.383,create,201,604.28,Root=1-6aafdeca-489638b23fe31c5a5460c971,
1789910731.383,create,201,831.13,Root=1-6aafdecb-797319b22d8a7bd7116a6d00,
1789910732.383,get,200,492.43,Root=1-6aafdecc-71662a6642dbf8810fa15fee,
1789910733.383,create,201,577.83,Root=1-6aafdecd-54ee510530756899360b6a8b,
1789910734.383,create,201,589.83,Root=1-6aafdece-74c65bbd3580a2917af025ce,
1789910735.383,get,200,479.8,Root=1-6aafdecf-1cca76ab08ac646952f0cb4a,
1789910736.383,create,201,560.6,Root=1-6aafded0-3e87b72b1e39a79d034a0fca,
1789910737.383,create,201,860.11,Root=1-6aafded1-323cea911085968d670b89c0,
1789910738.383,create,201,627.44,Root=1-6aafded2-1dd1fe51015535eb52d1dcef,
1789910739.383,create,201,948.8,Root=1-6aafded3-7702c20c703d5847391f126b,
1789910740.383,create,201,1089.24,Root=1-6aafded4-30e2dbd80267f5a85f9bc180,
1789910741.383,create,201,570.65,Root=1-6aafded5-7ce8ab23589fcbf26cab2f14,
1789910742.383,create,201,836.92,Root=1-6aafded6-09f54f933e0815a221d16cb8,
1789910743.383,create,201,868.12,Root=1-6aafded7-0a767cf0688adcf920a40df4,
1789910744.383,create,201,879.01,Root=1-6aafded8-0a7dc4a529b85b3a0dbb1151,
1789910745.383,create,201,929.46,Root=1-6aafded9-302181de5d597f7d4c44bdac,
1789910746.383,get,200,503.37,Root=1-6aafdeda-425ad10006718542406ede6c,
1789910747.383,create,201,907.44,Root=1-6aafdedb-5a8f93451e8b47895ef9cf6a,
1789910748.383,create,201,908.25,Root=1-6aafdedc-5a891ca052e01f7a08ad4a6e,
1789910749.383,create,201,661.27,Root=1-6aafdedd-53b645d123bf545d24c057c0,
1789910750.383,create,201,645.87,Root=1-6aafdede-053b95994fd4a1014f689ceb,
