baseline,cases,outcome,rate_a,rate_b,diff,p,test,p_holm,reject_h0
baro,90,top-1,0.28888888888888886,0.14444444444444443,0.14444444444444443,0.040959591511636986,McNemar exact,0.36863632360473286,False
baro,90,top-3,0.6111111111111112,0.8777777777777778,-0.2666666666666666,8.430331945419312e-06,McNemar exact,0.00012645497918128967,True
baro,90,rank,2.0,2.0,0.0,0.08015070086990274,mann_whitney_u,0.5610549060893192,False
causalrca,4,top-1,0.5,0.0,0.5,0.5,McNemar exact,1.0,False
causalrca,4,top-3,0.75,1.0,-0.25,1.0,McNemar exact,1.0,False
causalrca,4,rank,1.5,3.0,-1.5,0.2784463052387641,mann_whitney_u,1.0,False
circa,90,top-1,0.28888888888888886,0.5888888888888889,-0.30000000000000004,0.0002685401188191605,McNemar exact,0.003222481425829926,True
circa,90,top-3,0.6111111111111112,0.8777777777777778,-0.2666666666666666,6.960169412195683e-05,McNemar exact,0.0009048220235854387,True
circa,90,rank,2.0,1.0,1.0,1.6310757833454073e-05,mann_whitney_u,0.00022835060966835703,True
hybrid,90,top-1,0.28888888888888886,0.25555555555555554,0.033333333333333326,0.6900379657745361,McNemar exact,1.0,False
hybrid,90,top-3,0.6111111111111112,0.4777777777777778,0.13333333333333336,0.007537841796875,McNemar exact,0.07537841796875,False
hybrid,90,rank,2.0,4.0,-2.0,0.058666047510229136,mann_whitney_u,0.4693283800818331,False
tracerca,90,top-1,0.28888888888888886,0.1111111111111111,0.17777777777777776,0.0008554458618164062,McNemar exact,0.009409904479980469,True
tracerca,90,top-3,0.6111111111111112,0.6444444444444445,-0.033333333333333326,0.6636238098144531,McNemar exact,1.0,False
tracerca,90,rank,2.0,2.5,-0.5,0.7151968354628251,mann_whitney_u,1.0,False
