group,method,cases,avg@5,mean_rank,ac@1,ac@1_lo,ac@1_hi,ac@3,ac@3_lo,ac@3_hi
cpu,rules,15,0.6133333333333333,2.933333333333333,0.06666666666666667,0.011866895493268553,0.2981652987378003,0.6666666666666666,0.41713547738519774,0.8482367556028526
cpu,baro,15,0.6399999999999999,2.8666666666666667,0.0,0.0,0.20388330103584862,0.8,0.5481455128483065,0.9295245065301844
cpu,causalrca,1,0.6,3.0,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0
cpu,circa,15,0.7866666666666667,2.3333333333333335,0.5333333333333333,0.30116980025498397,0.7519046463426261,0.8666666666666667,0.6211801716767764,0.9626387408969346
cpu,hybrid,15,0.49333333333333335,3.8,0.13333333333333333,0.03736125910306537,0.37881982832322364,0.4,0.1982449614134158,0.6425316987937539
cpu,tracerca,15,0.6933333333333334,2.533333333333333,0.06666666666666667,0.011866895493268553,0.2981652987378003,0.8,0.5481455128483065,0.9295245065301844
delay,rules,15,0.6,3.066666666666667,0.4,0.1982449614134158,0.6425316987937539,0.6,0.357468301206246,0.8017550385865841
delay,baro,15,0.6666666666666667,2.6666666666666665,0.0,0.0,0.20388330103584862,0.8,0.5481455128483065,0.9295245065301844
delay,causalrca,1,0.6,3.0,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0
delay,circa,15,0.6799999999999999,2.933333333333333,0.4,0.1982449614134158,0.6425316987937539,0.7333333333333333,0.4804956594401943,0.8910254667430761
delay,hybrid,15,0.6266666666666667,2.8666666666666667,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.6666666666666666,0.41713547738519774,0.8482367556028526
delay,tracerca,15,0.5599999999999999,3.2,0.2,0.07047549346981563,0.45185448715169363,0.5333333333333333,0.30116980025498397,0.7519046463426261
disk,rules,15,0.6666666666666667,2.6666666666666665,0.26666666666666666,0.10897453325692374,0.5195043405598057,0.6,0.357468301206246,0.8017550385865841
disk,baro,15,0.8133333333333332,1.9333333333333333,0.13333333333333333,0.03736125910306537,0.37881982832322364,1.0,0.7961166989641515,1.0
disk,causalrca,1,0.6,3.0,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0
disk,circa,15,0.8666666666666668,2.0,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.8666666666666667,0.6211801716767764,0.9626387408969346
disk,hybrid,15,0.49333333333333335,3.533333333333333,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.4,0.1982449614134158,0.6425316987937539
disk,tracerca,15,0.6933333333333334,2.533333333333333,0.2,0.07047549346981563,0.45185448715169363,0.7333333333333333,0.4804956594401943,0.8910254667430761
loss,rules,15,0.52,3.466666666666667,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.5333333333333333,0.30116980025498397,0.7519046463426261
loss,baro,15,0.8,2.0,0.4,0.1982449614134158,0.6425316987937539,0.8666666666666667,0.6211801716767764,0.9626387408969346
loss,causalrca,1,0.6,3.0,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0
loss,circa,15,0.8266666666666668,1.9333333333333333,0.5333333333333333,0.30116980025498397,0.7519046463426261,0.8666666666666667,0.6211801716767764,0.9626387408969346
loss,hybrid,15,0.5066666666666666,3.6,0.2,0.07047549346981563,0.45185448715169363,0.5333333333333333,0.30116980025498397,0.7519046463426261
loss,tracerca,15,0.5066666666666666,3.533333333333333,0.06666666666666667,0.011866895493268553,0.2981652987378003,0.5333333333333333,0.30116980025498397,0.7519046463426261
mem,rules,15,0.6399999999999999,2.8,0.4,0.1982449614134158,0.6425316987937539,0.6,0.357468301206246,0.8017550385865841
mem,baro,15,0.8666666666666666,1.6666666666666667,0.3333333333333333,0.1517632443971473,0.5828645226148023,1.0,0.7961166989641515,1.0
mem,circa,15,0.9333333333333332,1.3333333333333333,0.6666666666666666,0.41713547738519774,0.8482367556028526,1.0,0.7961166989641515,1.0
mem,hybrid,15,0.4666666666666666,3.8,0.2,0.07047549346981563,0.45185448715169363,0.4666666666666667,0.24809535365737387,0.698830199745016
mem,tracerca,15,0.5733333333333334,3.1333333333333333,0.0,0.0,0.20388330103584862,0.5333333333333333,0.30116980025498397,0.7519046463426261
socket,rules,15,0.6133333333333335,2.933333333333333,0.26666666666666666,0.10897453325692374,0.5195043405598057,0.6666666666666666,0.41713547738519774,0.8482367556028526
socket,baro,15,0.6666666666666667,2.8,0.0,0.0,0.20388330103584862,0.8,0.5481455128483065,0.9295245065301844
socket,circa,15,0.8266666666666668,1.9333333333333333,0.5333333333333333,0.30116980025498397,0.7519046463426261,0.9333333333333333,0.7018347012621998,0.9881331045067315
socket,hybrid,15,0.4133333333333334,4.2,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.4,0.1982449614134158,0.6425316987937539
socket,tracerca,15,0.6799999999999999,2.6,0.13333333333333333,0.03736125910306537,0.37881982832322364,0.7333333333333333,0.4804956594401943,0.8910254667430761
