case,root_cause,fault,baro,causalrca,circa,hybrid,rules,tracerca
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,2,3.0,1,8,2,1
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,2,,3,5,1,2
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,3,,1,8,2,2
re2ob_checkoutservice_delay_1,checkoutservice,delay,4,3.0,5,1,1,1
re2ob_checkoutservice_delay_2,checkoutservice,delay,3,,2,2,1,1
re2ob_checkoutservice_delay_3,checkoutservice,delay,3,,4,1,1,1
re2ob_checkoutservice_disk_1,checkoutservice,disk,2,3.0,1,6,4,1
re2ob_checkoutservice_disk_2,checkoutservice,disk,2,,1,5,1,1
re2ob_checkoutservice_disk_3,checkoutservice,disk,2,,1,6,1,1
re2ob_checkoutservice_loss_1,checkoutservice,loss,2,3.0,2,4,1,1
re2ob_checkoutservice_loss_2,checkoutservice,loss,3,,2,2,1,2
re2ob_checkoutservice_loss_3,checkoutservice,loss,2,,4,1,1,2
re2ob_checkoutservice_mem_1,checkoutservice,mem,2,,2,5,1,2
re2ob_checkoutservice_mem_2,checkoutservice,mem,2,,1,7,1,2
re2ob_checkoutservice_mem_3,checkoutservice,mem,2,,1,5,1,2
re2ob_checkoutservice_socket_1,checkoutservice,socket,2,,1,6,3,2
re2ob_checkoutservice_socket_2,checkoutservice,socket,2,,1,6,3,1
re2ob_checkoutservice_socket_3,checkoutservice,socket,2,,1,6,1,1
re2ob_currencyservice_cpu_1,currencyservice,cpu,7,,7,5,4,2
re2ob_currencyservice_cpu_2,currencyservice,cpu,5,,2,5,5,2
re2ob_currencyservice_cpu_3,currencyservice,cpu,6,,9,4,3,2
re2ob_currencyservice_delay_1,currencyservice,delay,4,,3,5,7,4
re2ob_currencyservice_delay_2,currencyservice,delay,2,,1,3,5,4
re2ob_currencyservice_delay_3,currencyservice,delay,2,,2,4,5,4
re2ob_currencyservice_disk_1,currencyservice,disk,2,,1,5,4,3
re2ob_currencyservice_disk_2,currencyservice,disk,3,,1,5,2,3
re2ob_currencyservice_disk_3,currencyservice,disk,2,,1,4,4,3
re2ob_currencyservice_loss_1,currencyservice,loss,2,,1,4,5,4
re2ob_currencyservice_loss_2,currencyservice,loss,4,,1,5,5,5
re2ob_currencyservice_loss_3,currencyservice,loss,5,,7,6,6,5
re2ob_currencyservice_mem_1,currencyservice,mem,2,,2,3,5,4
re2ob_currencyservice_mem_2,currencyservice,mem,2,,1,6,5,4
re2ob_currencyservice_mem_3,currencyservice,mem,2,,1,5,4,3
re2ob_currencyservice_socket_1,currencyservice,socket,4,,2,6,4,2
re2ob_currencyservice_socket_2,currencyservice,socket,7,,3,4,4,2
re2ob_currencyservice_socket_3,currencyservice,socket,7,,7,7,5,2
re2ob_emailservice_cpu_1,emailservice,cpu,2,,1,1,2,2
re2ob_emailservice_cpu_2,emailservice,cpu,2,,1,2,2,3
re2ob_emailservice_cpu_3,emailservice,cpu,2,,1,2,2,3
re2ob_emailservice_delay_1,emailservice,delay,2,,1,2,2,5
re2ob_emailservice_delay_2,emailservice,delay,6,,9,3,2,6
re2ob_emailservice_delay_3,emailservice,delay,2,,1,2,2,6
re2ob_emailservice_disk_1,emailservice,disk,2,,1,1,2,2
re2ob_emailservice_disk_2,emailservice,disk,1,,1,2,2,4
re2ob_emailservice_disk_3,emailservice,disk,1,,1,1,2,2
re2ob_emailservice_loss_1,emailservice,loss,2,,1,2,3,7
re2ob_emailservice_loss_2,emailservice,loss,2,,1,2,4,6
re2ob_emailservice_loss_3,emailservice,loss,2,,1,1,3,3
re2ob_emailservice_mem_1,emailservice,mem,1,,1,2,2,3
re2ob_emailservice_mem_2,emailservice,mem,1,,1,1,3,4
re2ob_emailservice_mem_3,emailservice,mem,1,,1,3,2,5
re2ob_emailservice_socket_1,emailservice,socket,2,,1,1,2,3
re2ob_emailservice_socket_2,emailservice,socket,2,,1,1,2,3
re2ob_emailservice_socket_3,emailservice,socket,2,,1,1,3,5
re2ob_productcatalogservice_cpu_1,productcatalogservice,cpu,2,,2,4,5,5
re2ob_productcatalogservice_cpu_2,productcatalogservice,cpu,2,,1,4,5,4
re2ob_productcatalogservice_cpu_3,productcatalogservice,cpu,2,,1,4,5,4
re2ob_productcatalogservice_delay_1,productcatalogservice,delay,2,,8,6,6,3
re2ob_productcatalogservice_delay_2,productcatalogservice,delay,2,,1,5,5,3
re2ob_productcatalogservice_delay_3,productcatalogservice,delay,2,,3,6,6,4
re2ob_productcatalogservice_disk_1,productcatalogservice,disk,2,,1,5,5,4
re2ob_productcatalogservice_disk_2,productcatalogservice,disk,2,,1,6,5,4
re2ob_productcatalogservice_disk_3,productcatalogservice,disk,2,,8,4,4,4
