injection_id,fault,target,detected,detected_at,delay_s,load,rank
steady-001,elevated_latency,inventory,True,2026-01-01 07:01:00+00:00,60.0,steady,1
steady-002,dependency_failure,notifications,True,2026-01-01 07:07:00+00:00,60.0,steady,1
steady-003,timeout,inventory,True,2026-01-01 07:13:00+00:00,60.0,steady,1
steady-004,elevated_latency,payments,True,2026-01-01 07:19:00+00:00,60.0,steady,1
steady-005,throttling,notifications,True,2026-01-01 07:25:00+00:00,60.0,steady,1
steady-006,dependency_failure,notifications,True,2026-01-01 07:31:00+00:00,60.0,steady,1
steady-007,dependency_failure,inventory,True,2026-01-01 07:37:00+00:00,60.0,steady,1
steady-008,elevated_latency,inventory,True,2026-01-01 07:43:00+00:00,60.0,steady,1
steady-009,throttling,payments,True,2026-01-01 07:49:00+00:00,60.0,steady,1
steady-010,elevated_latency,notifications,True,2026-01-01 07:55:00+00:00,60.0,steady,1
steady-011,elevated_latency,payments,True,2026-01-01 08:01:00+00:00,60.0,steady,1
steady-012,elevated_latency,notifications,True,2026-01-01 08:07:00+00:00,60.0,steady,1
steady-013,timeout,payments,True,2026-01-01 08:13:00+00:00,60.0,steady,1
steady-014,timeout,payments,True,2026-01-01 08:19:00+00:00,60.0,steady,1
steady-015,dependency_failure,inventory,True,2026-01-01 08:25:00+00:00,60.0,steady,1
steady-016,throttling,inventory,True,2026-01-01 08:31:00+00:00,60.0,steady,1
steady-017,dependency_failure,payments,True,2026-01-01 08:37:00+00:00,60.0,steady,1
steady-018,timeout,inventory,True,2026-01-01 08:43:00+00:00,60.0,steady,1
steady-019,throttling,notifications,True,2026-01-01 08:49:00+00:00,60.0,steady,1
steady-020,timeout,notifications,True,2026-01-01 08:55:00+00:00,60.0,steady,2
steady-021,timeout,notifications,True,2026-01-01 09:01:00+00:00,60.0,steady,3
steady-022,throttling,payments,True,2026-01-01 09:07:00+00:00,60.0,steady,1
steady-023,throttling,inventory,True,2026-01-01 09:13:00+00:00,60.0,steady,1
steady-024,dependency_failure,payments,True,2026-01-01 09:19:00+00:00,60.0,steady,1
peak-001,dependency_failure,inventory,True,2026-01-01 10:25:00+00:00,60.0,peak,1
peak-002,throttling,payments,True,2026-01-01 10:31:00+00:00,60.0,peak,1
peak-003,dependency_failure,payments,True,2026-01-01 10:37:00+00:00,60.0,peak,1
peak-004,timeout,inventory,True,2026-01-01 10:43:00+00:00,60.0,peak,1
peak-005,throttling,payments,True,2026-01-01 10:49:00+00:00,60.0,peak,1
peak-006,timeout,payments,True,2026-01-01 10:55:00+00:00,60.0,peak,1
peak-007,dependency_failure,notifications,True,2026-01-01 11:01:00+00:00,60.0,peak,1
peak-008,throttling,inventory,True,2026-01-01 11:07:00+00:00,60.0,peak,1
peak-009,timeout,notifications,True,2026-01-01 11:13:00+00:00,60.0,peak,2
peak-010,dependency_failure,payments,True,2026-01-01 11:19:00+00:00,60.0,peak,1
peak-011,timeout,inventory,True,2026-01-01 11:25:00+00:00,60.0,peak,1
peak-012,throttling,notifications,True,2026-01-01 11:31:00+00:00,60.0,peak,1
peak-013,elevated_latency,inventory,True,2026-01-01 11:37:00+00:00,60.0,peak,1
peak-014,elevated_latency,payments,True,2026-01-01 11:43:00+00:00,60.0,peak,1
peak-015,dependency_failure,inventory,True,2026-01-01 11:49:00+00:00,60.0,peak,1
peak-016,throttling,notifications,True,2026-01-01 11:55:00+00:00,60.0,peak,1
peak-017,timeout,notifications,True,2026-01-01 12:01:00+00:00,60.0,peak,4
peak-018,timeout,payments,True,2026-01-01 12:07:00+00:00,60.0,peak,1
peak-019,dependency_failure,notifications,True,2026-01-01 12:13:00+00:00,60.0,peak,1
peak-020,elevated_latency,notifications,True,2026-01-01 12:19:00+00:00,60.0,peak,1
peak-021,elevated_latency,inventory,True,2026-01-01 12:25:00+00:00,60.0,peak,1
peak-022,elevated_latency,payments,True,2026-01-01 12:31:00+00:00,60.0,peak,1
peak-023,elevated_latency,notifications,True,2026-01-01 12:37:00+00:00,60.0,peak,1
peak-024,throttling,inventory,True,2026-01-01 12:43:00+00:00,60.0,peak,1
